BarINum,BarAñoFRlt,BarAñoIni,BarAñoFin,BarNom,BarCli,BarEmpCli,BarEmpCmr,BarDatTip,BarDemTip,BarEtaTip,Año
44,F,*,*,Capricornio 110,EDELNOR-Capricornio 110,Cli-EDELNOR,EDELNOR,BarDemPro,*,EtaAño,1
45,F,*,*,Laberinto 220,OTRO-Laberinto 220,Cli-OTRO,OTRO,BarDemPro,*,EtaAño,1
46,F,*,*,Lomas Bayas 220,AES GENER-Lomas Bayas 220,Cli-AES GENER,AES GENER,BarDemPro,*,EtaAño,1
47,F,*,*,Zaldivar 220,AES GENER-Zaldivar 220,Cli-AES GENER,AES GENER,BarDemPro,*,EtaAño,1
48,F,*,*,Planta Oxidos 220,GASATACAMA-Planta Oxidos 220,Cli-GASATACAMA,GASATACAMA,BarDemPro,*,EtaAño,1
49,F,*,*,Domeyko 220,EDELNOR-Domeyko 220,Cli-EDELNOR,EDELNOR,BarDemPro,*,EtaAño,1
50,F,*,*,Palestina 220,GASATACAMA-Palestina 220,Cli-GASATACAMA,GASATACAMA,BarDemPro,*,EtaAño,1
51,F,*,*,Escondida AB 220,NORGENER-Escondida AB 220,Cli-NORGENER,NORGENER,BarDemPro,*,EtaAño,1
52,F,*,*,Minsal 110,NORGENER-Minsal 110,Cli-NORGENER,NORGENER,BarDemPro,*,EtaAño,1
53,F,*,*,Sulfuros 220,OTRO-Sulfuros 220,Cli-OTRO,OTRO,BarDemPro,*,EtaAño,1
54,F,*,*,Coloso 220,NORGENER-Coloso 220,Cli-NORGENER,NORGENER,BarDemPro,*,EtaAño,1
55,F,*,*,Negro 110,EDELNOR-Negro 110,Cli-EDELNOR,EDELNOR,BarDemPro,*,EtaAño,0.33
56,F,*,*,Negro 110,ELECTROANDINA-Negro 110,Cli-ELECTROANDINA,ELECTROANDINA,BarDemPro,*,EtaAño,0.67
57,F,2006,2006,La Negra 110,EDELNOR-La Negra 110,Cli-EDELNOR,EDELNOR,BarDemPro,*,EtaAño,0.2
58,F,2006,2006,La Negra 110,GASATACAMA-La Negra 110,Cli-GASATACAMA,GASATACAMA,BarDemPro,*,EtaAño,0.8
59,F,2007,*,La Negra 110,GASATACAMA-La Negra 110,Cli-GASATACAMA,GASATACAMA,BarDemPro,*,EtaAño,1
60,F,*,*,Desalant 110,EDELNOR-Desalant 110,Cli-EDELNOR,EDELNOR,BarDemPro,*,EtaAño,1
61,F,*,*,Pampa 110,EDELNOR-Pampa 110,Cli-EDELNOR,EDELNOR,BarDemPro,*,EtaAño,1
62,F,*,*,Diesel Antofagasta 13.8,EDELNOR-Diesel Antofagasta 13.8,Cli-EDELNOR,EDELNOR,BarDemPro,*,EtaAño,1
63,F,*,*,Esmeralda 110,GASATACAMA-Esmeralda 110,Cli-GASATACAMA,GASATACAMA,BarDemPro,*,EtaAño,1
64,F,*,*,Alto Norte 110,EDELNOR-Alto Norte 110,Cli-EDELNOR,EDELNOR,BarDemPro,*,EtaAño,1
