DemVegINum,DemVegAñoFRlt,DemVegAñoIni,DemVegAñoFin,DemVegBar,DemVegIBlo,DemVegEtaTip,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar
34,F,2017,2017,La Negra 110,2,EtaMes,1.033859765,1.057651372,1.067930499,1.051828579,1.063792799,1.026074182,1.086686837,1.099290001,1.001888118,1.010448697,1.026245495,1.036172479
35,F,2017,2017,La Negra 110,3,EtaMes,0.956870132,0.907160596,0.921132719,0.970082588,0.949619764,1.046647663,0.960058541,0.961526378,1.046261652,0.972630487,0.969387322,0.937420895
36,F,2017,2017,La Negra 110,4,EtaMes,0.912179702,0.91883081,0.927222348,0.910992715,0.930765746,0.913879385,0.931740142,0.96602988,0.908211336,0.947199682,0.953402586,0.943170766
37,F,2017,2017,La Negra 110,5,EtaMes,0.914233615,0.8637364,0.876313769,0.88555868,0.869226114,0.996677451,0.845231089,0.921900142,0.989619532,0.936518449,0.928471486,0.923212955
38,F,2017,2017,La Negra 110,6,EtaMes,0.987903469,0.964010339,0.97875965,0.909517777,0.963292679,0.940967728,0.953961338,0.954988851,0.915914016,0.962105163,0.965834217,1.035542587
39,F,2017,2017,La Negra 110,7,EtaMes,0.919293514,0.930146641,0.92088123,0.958187289,0.927128108,1.00569684,0.820635296,0.908607362,0.967759585,0.92266903,0.884545262,0.890522566
40,F,2017,2017,La Negra 110,8,EtaMes,0.976763845,0.994979614,0.989133575,0.936487341,0.99811731,0.926193004,0.988668146,0.933034755,0.919691376,0.958689875,0.95501378,0.968820342
41,F,2017,2017,La Negra 110,9,EtaMes,0.938670183,0.967311081,0.916749623,0.96198312,0.925619639,1.037177304,0.881615828,0.926827638,1.034648098,0.951578999,0.939507556,0.952130728
42,F,2017,2017,La Negra 110,10,EtaMes,0.988288577,0.989345266,0.97532862,0.951418498,0.981978168,0.954426893,1.025639736,0.967691478,0.960970782,1.008618133,0.99452073,0.976073364
43,F,2017,2017,La Negra 110,11,EtaMes,0.949221447,0.98708018,0.912582089,0.957539839,0.903862878,1.027423779,0.976249386,0.952878431,1.040979441,0.922151295,0.941191435,0.976669572
