DemVegINum,DemVegAñoFRlt,DemVegAñoIni,DemVegAñoFin,DemVegBar,DemVegTasa,DemVegEtaTip,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar
27,F,2027,2027,Antofagasta 013,0,EtaMes,0.046780235,0.045270668,0.04541739,0.044949442,0.047538316,0.047691331,0.047309406,0.047603117,0.048767205,0.047990107,0.047703937,0.044956073
28,F,2028,2028,Antofagasta 013,0,EtaMes,0.046847153,0.045335457,0.045481425,0.045012703,0.047604597,0.047757911,0.047376234,0.047670153,0.048836036,0.048056234,0.047770097,0.045017831
29,F,2029,2029,Antofagasta 013,0,EtaMes,0.046910641,0.045396966,0.045542245,0.045072764,0.047667499,0.047821068,0.047439649,0.047733753,0.048901357,0.048118727,0.047832602,0.045076175
30,F,2030,2030,Antofagasta 013,0,EtaMes,0.046970583,0.045455119,0.045599798,0.045129553,0.047726923,0.04788068,0.047499549,0.047793794,0.048963052,0.04817947,0.047893341,0.045132868
31,F,2031,2031,Antofagasta 013,0,EtaMes,0.047028804,0.04551166,0.045655793,0.045184774,0.047784666,0.047938564,0.047557748,0.047852099,0.049022981,0.04823523,0.04794908,0.045184891
32,F,2032,*,Antofagasta 013,0,EtaMes,0.047082194,0.045563587,0.045707272,0.045235494,0.047837656,0.047991631,0.047611145,0.047905571,0.049077974,0.048285798,0.047999605,0.045232044
33,F,2017,2017,Arica 066,0,EtaMes,0.000981032,0.001349786,0.000991922,0.001279243,0.001027015,0.001120823,0.001074076,0.00110377,0.00107554,0.001910384,0.001998178,0.005992634
34,F,2018,2018,Arica 066,0,EtaMes,0.000994088,0.001361422,0.001001236,0.00128709,0.00103274,0.001124928,0.001076141,0.001103745,0.00107348,0.001931259,0.00201747,0.006007202
35,F,2019,2019,Arica 066,0,EtaMes,0.001008101,0.001372333,0.001009651,0.001292574,0.001035664,0.001125013,0.001073313,0.001097791,0.001064739,0.001942506,0.002028658,0.006017464
36,F,2020,2020,Arica 066,0,EtaMes,0.001017665,0.001381017,0.001017708,0.00129984,0.00104246,0.001131469,0.001078938,0.001102761,0.001068813,0.001937596,0.002025535,0.006021125
37,F,2021,2021,Arica 066,0,EtaMes,0.001017229,0.001382975,0.001021221,0.001305613,0.00105017,0.001141864,0.001091276,0.001117556,0.001085293,0.001951619,0.002038717,0.006036481
38,F,2022,2022,Arica 066,0,EtaMes,0.001026011,0.001390399,0.001026708,0.001309734,0.001052453,0.001142567,0.00109026,0.001114735,0.001080843,0.001956087,0.002043455,0.006043905
39,F,2023,2023,Arica 066,0,EtaMes,0.001029901,0.001394463,0.001030523,0.001313692,0.001056339,0.001146713,0.001094341,0.001118891,0.001084871,0.001966277,0.002053168,0.006058528
40,F,2024,2024,Arica 066,0,EtaMes,0.001035878,0.001399904,0.001034393,0.001316945,0.001058183,0.001147609,0.001094137,0.00111756,0.00108251,0.001969317,0.002056484,0.006066426
41,F,2025,2025,Arica 066,0,EtaMes,0.001038154,0.001402657,0.001036825,0.001319762,0.001060857,0.001150586,0.001097156,0.001120743,0.001085702,0.00197086,0.00205812,0.006071072
42,F,2026,2026,Arica 066,0,EtaMes,0.001038963,0.001403732,0.001037603,0.00132074,0.001061639,0.001151437,0.001097988,0.001121589,0.001086524,0.00197213,0.002059463,0.006076347
43,F,2027,2027,Arica 066,0,EtaMes,0.001039259,0.001404391,0.001037875,0.001321283,0.001061901,0.001151743,0.00109828,0.001121882,0.001086812,0.001973318,0.002060719,0.006081983
44,F,2028,2028,Arica 066,0,EtaMes,0.00103936,0.001404902,0.001037954,0.001321667,0.001061965,0.001151843,0.001098367,0.001121966,0.001086896,0.001974397,0.002061858,0.006087871
45,F,2029,2029,Arica 066,0,EtaMes,0.001039257,0.001405248,0.001037833,0.001321881,0.001061824,0.001151728,0.00109824,0.001121832,0.00108677,0.001975613,0.002063136,0.006094735
46,F,2030,2030,Arica 066,0,EtaMes,0.001039086,0.001405609,0.001037647,0.001322091,0.001061616,0.001151545,0.001098042,0.001121624,0.001086573,0.001977359,0.002064968,0.006102796
47,F,2031,2031,Arica 066,0,EtaMes,0.001039304,0.001406416,0.001037853,0.001322735,0.001061807,0.001151789,0.001098257,0.001121837,0.001086784,0.001978668,0.002066337,0.006110986
48,F,2032,*,Arica 066,0,EtaMes,0.001038922,0.001406689,0.001037464,0.001322834,0.001061389,0.001151391,0.00109784,0.001121405,0.00108637,0.001979694,0.002067406,0.006119679
49,F,2017,2017,Calama 110,0,EtaMes,0.139250851,0.14354399,0.153697736,0.151301052,0.148429126,0.144213283,0.142066821,0.140499669,0.138566161,0.136932966,0.134457622,0.137082648
50,F,2018,2018,Calama 110,0,EtaMes,0.140160079,0.144478457,0.154680962,0.152270635,0.149372076,0.145133008,0.142984314,0.141396852,0.139447883,0.137577059,0.135094919,0.137726605
51,F,2019,2019,Calama 110,0,EtaMes,0.140812253,0.145147875,0.155385102,0.152965939,0.15004995,0.14579526,0.143643328,0.14204667,0.140088286,0.138274297,0.135784556,0.138423059
52,F,2020,2020,Calama 110,0,EtaMes,0.141517119,0.14587135,0.156145864,0.153716555,0.15078115,0.146509022,0.144353531,0.142746369,0.140777664,0.138821752,0.136325611,0.138969017
53,F,2021,2021,Calama 110,0,EtaMes,0.142068916,0.14643831,0.156742315,0.154303977,0.151352373,0.147065547,0.144907441,0.143291368,0.141314693,0.139386224,0.136883924,0.139532952
54,F,2022,2022,Calama 110,0,EtaMes,0.14263924,0.147024764,0.157359668,0.154912587,0.151944808,0.147643447,0.145483164,0.143858452,0.141873935,0.139905197,0.137397183,0.140051113
55,F,2023,2023,Calama 110,0,EtaMes,0.143163149,0.147563009,0.1579258,0.155470601,0.152487915,0.148173158,0.146010545,0.144377871,0.142385962,0.140394725,0.137881261,0.140539944
56,F,2024,2024,Calama 110,0,EtaMes,0.143657145,0.148071494,0.158461327,0.155998093,0.153000928,0.148673153,0.146508973,0.144868541,0.142870021,0.140753233,0.138235737,0.140897776
57,F,2025,2025,Calama 110,0,EtaMes,0.144018563,0.148443403,0.158852869,0.156383534,0.153375707,0.149038271,0.146872778,0.145226812,0.143223527,0.140987317,0.13846725,0.141131528
58,F,2026,2026,Calama 110,0,EtaMes,0.144254542,0.148686293,0.159108614,0.156635153,0.153620459,0.149276702,0.147110289,0.145461077,0.143454914,0.141201847,0.138679373,0.141345696
59,F,2027,2027,Calama 110,0,EtaMes,0.144470629,0.148908977,0.159343276,0.156865847,0.153844697,0.149494976,0.147327856,0.145675598,0.143666905,0.141407514,0.138882706,0.141550983
60,F,2028,2028,Calama 110,0,EtaMes,0.144677691,0.149122501,0.159568379,0.157087054,0.154059625,0.149704096,0.147536375,0.145881147,0.14387008,0.141602748,0.139075699,0.141745822
61,F,2029,2029,Calama 110,0,EtaMes,0.144874154,0.149325231,0.159782195,0.157297084,0.154263608,0.149902478,0.147734261,0.146076173,0.144062905,0.141787268,0.139258045,0.141929904
62,F,2030,2030,Calama 110,0,EtaMes,0.14505966,0.149516912,0.159984542,0.157495687,0.154456331,0.15008974,0.147921191,0.146260303,0.144245042,0.141966625,0.139435242,0.142108781
63,F,2031,2031,Calama 110,0,EtaMes,0.145239842,0.149703284,0.160181417,0.157688811,0.154643605,0.150271577,0.148102819,0.146439112,0.144421968,0.142131292,0.139597876,0.142272948
