CenINum,CenAñoFRlt,CenAñoIni,CenAñoFin,CenIBlo,CenNom,CenDatTip,CenEtaTip,abr,may,jun,jul,ago,sep,oct,nov,dic,ene,feb,mar
2,F,*,*,15,POZO ALMONTE 2,CenPotMax,EtaMes,0,0,0.05425193,0,0,0,0.005890407,0,0,0,0,0
2,F,*,*,16,POZO ALMONTE 2,CenPotMax,EtaMes,0,0,0.05425193,0,0,0,0.005890407,0,0,0,0,0
3,F,*,*,1,LA HUAYCA,CenPotMax,EtaMes,0,0,0,0,0,0,0,0,0,0,0,0
3,F,*,*,2,LA HUAYCA,CenPotMax,EtaMes,0,0,0,0,0,0,0,0,0,0,0,0
3,F,*,*,3,LA HUAYCA,CenPotMax,EtaMes,0,0,0,0,0,0,0,0,0,0,0,0
3,F,*,*,4,LA HUAYCA,CenPotMax,EtaMes,0,0,0,0,0,0,0,0,0,0,0,0
3,F,*,*,5,LA HUAYCA,CenPotMax,EtaMes,0,0.260153481,0.056673286,0.005184442,0.717652937,2.981155912,5.2111795,3.357651538,2.840260808,0.407914661,0.00532403,0
3,F,*,*,6,LA HUAYCA,CenPotMax,EtaMes,0,0.260153481,0.056673286,0.005184442,0.717652937,2.981155912,5.2111795,3.357651538,2.840260808,0.407914661,0.00532403,0
3,F,*,*,7,LA HUAYCA,CenPotMax,EtaMes,13.65424445,14.64328806,13.54825946,13.67803003,16.33590032,19.4367297,20.58895882,20.36257135,19.38361754,16.54666133,14.08081057,13.09509786
3,F,*,*,8,LA HUAYCA,CenPotMax,EtaMes,13.65424445,14.64328806,13.54825946,13.67803003,16.33590032,19.4367297,20.58895882,20.36257135,19.38361754,16.54666133,14.08081057,13.09509786
3,F,*,*,9,LA HUAYCA,CenPotMax,EtaMes,17.36897981,15.50018033,14.52851417,14.86565262,17.03993264,19.21166696,20.84374905,21.50296251,21.36361807,20.62806742,20.18610236,19.3465728
3,F,*,*,10,LA HUAYCA,CenPotMax,EtaMes,17.36897981,15.50018033,14.52851417,14.86565262,17.03993264,19.21166696,20.84374905,21.50296251,21.36361807,20.62806742,20.18610236,19.3465728
3,F,*,*,11,LA HUAYCA,CenPotMax,EtaMes,17.0340672,14.88199781,14.60866607,14.48512517,16.74969277,18.26474034,19.59690822,18.62951455,19.0389647,17.74028749,17.86455138,16.49542797
3,F,*,*,12,LA HUAYCA,CenPotMax,EtaMes,17.0340672,14.88199781,14.60866607,14.48512517,16.74969277,18.26474034,19.59690822,18.62951455,19.0389647,17.74028749,17.86455138,16.49542797
