CenINum,CenAñoFRlt,CenAñoIni,CenAñoFin,CenIBlo,CenNom,CenDatTip,CenEtaTip,abr,may,jun,jul,ago,sep,oct,nov,dic,ene,feb,mar
2,F,*,*,14,SIERRA GORDA,CenPotMax,EtaMes,35.42139266,23.22684892,67.46210342,15.80401748,97.81506351,63.97965325,64.97867769,21.76948791,15.5463506,18.88098962,10.85197041,18.97763309
2,F,*,*,15,SIERRA GORDA,CenPotMax,EtaMes,2.091979139,5.18606421,31.14871369,48.58880684,46.92917589,21.10467455,24.65633792,7.993798301,1.444417198,5.007847194,12.79157075,1.550291017
2,F,*,*,16,SIERRA GORDA,CenPotMax,EtaMes,2.091979139,5.18606421,31.14871369,48.58880684,46.92917589,21.10467455,24.65633792,7.993798301,1.444417198,5.007847194,12.79157075,1.550291017
3,F,*,*,1,EOLICO SING III,CenPotMax,EtaMes,54.63196298,107.2480607,173.6317671,250.7505512,79.39047569,129.2259676,110.2327662,79.60705881,46.22780104,53.97008709,13.01436394,36.04661604
3,F,*,*,2,EOLICO SING III,CenPotMax,EtaMes,54.63196298,107.2480607,173.6317671,250.7505512,79.39047569,129.2259676,110.2327662,79.60705881,46.22780104,53.97008709,13.01436394,36.04661604
3,F,*,*,3,EOLICO SING III,CenPotMax,EtaMes,180.0078104,259.3848501,73.76710748,236.4036708,85.62720188,242.5649237,135.9452098,170.6642392,149.554601,97.09039907,19.98541287,191.1256272
3,F,*,*,4,EOLICO SING III,CenPotMax,EtaMes,180.0078104,259.3848501,73.76710748,236.4036708,85.62720188,242.5649237,135.9452098,170.6642392,149.554601,97.09039907,19.98541287,191.1256272
3,F,*,*,5,EOLICO SING III,CenPotMax,EtaMes,243.6142088,281.5422218,114.3861092,278.4530987,147.8894707,272.0742983,165.1262462,254.7104925,217.5657958,156.0015911,47.96187055,203.4708315
3,F,*,*,6,EOLICO SING III,CenPotMax,EtaMes,243.6142088,281.5422218,114.3861092,278.4530987,147.8894707,272.0742983,165.1262462,254.7104925,217.5657958,156.0015911,47.96187055,203.4708315
3,F,*,*,7,EOLICO SING III,CenPotMax,EtaMes,100.3278412,162.2344826,214.0856374,95.20727213,106.1974063,82.50096323,79.30341628,73.35958218,37.69218535,14.12622289,10.34363339,33.38519223
3,F,*,*,8,EOLICO SING III,CenPotMax,EtaMes,100.3278412,162.2344826,214.0856374,95.20727213,106.1974063,82.50096323,79.30341628,73.35958218,37.69218535,14.12622289,10.34363339,33.38519223
3,F,*,*,9,EOLICO SING III,CenPotMax,EtaMes,96.17535687,28.80513751,217.8474692,21.90541464,283.1532973,58.15534674,145.8636823,53.98979416,72.29312057,95.37153836,99.16965522,88.6846557
3,F,*,*,10,EOLICO SING III,CenPotMax,EtaMes,96.17535687,28.80513751,217.8474692,21.90541464,283.1532973,58.15534674,145.8636823,53.98979416,72.29312057,95.37153836,99.16965522,88.6846557
3,F,*,*,11,EOLICO SING III,CenPotMax,EtaMes,95.06462507,39.90397074,208.1111032,30.01067589,276.2521164,119.7891487,155.8502973,186.816195,165.5581058,169.6370067,163.3259786,118.6738665
3,F,*,*,12,EOLICO SING III,CenPotMax,EtaMes,95.06462507,39.90397074,208.1111032,30.01067589,276.2521164,119.7891487,155.8502973,186.816195,165.5581058,169.6370067,163.3259786,118.6738665
3,F,*,*,13,EOLICO SING III,CenPotMax,EtaMes,94.87873033,62.2147739,180.7020627,42.33218967,262.0046344,171.3740712,174.0500295,58.31112833,41.64201055,50.57407933,29.06777789,50.83294577
3,F,*,*,14,EOLICO SING III,CenPotMax,EtaMes,94.87873033,62.2147739,180.7020627,42.33218967,262.0046344,171.3740712,174.0500295,58.31112833,41.64201055,50.57407933,29.06777789,50.83294577
3,F,*,*,15,EOLICO SING III,CenPotMax,EtaMes,5.60351555,13.89124342,83.43405453,130.1485898,125.7031497,56.53037825,66.04376228,21.41195973,3.868974636,13.41387641,34.26313594,4.152565223
3,F,*,*,16,EOLICO SING III,CenPotMax,EtaMes,5.60351555,13.89124342,83.43405453,130.1485898,125.7031497,56.53037825,66.04376228,21.41195973,3.868974636,13.41387641,34.26313594,4.152565223
4,F,*,*,1,EOLICO SING I,CenPotMax,EtaMes,36.42130866,71.49870712,115.7545114,167.1670341,52.92698379,86.15064507,73.48851082,53.07137254,30.81853403,35.98005806,8.676242624,24.03107736
4,F,*,*,2,EOLICO SING I,CenPotMax,EtaMes,36.42130866,71.49870712,115.7545114,167.1670341,52.92698379,86.15064507,73.48851082,53.07137254,30.81853403,35.98005806,8.676242624,24.03107736
4,F,*,*,3,EOLICO SING I,CenPotMax,EtaMes,120.0052069,172.9232334,49.17807165,157.6024472,57.08480125,161.7099491,90.63013985,113.7761594,99.70306734,64.72693271,13.32360858,127.4170848
4,F,*,*,4,EOLICO SING I,CenPotMax,EtaMes,120.0052069,172.9232334,49.17807165,157.6024472,57.08480125,161.7099491,90.63013985,113.7761594,99.70306734,64.72693271,13.32360858,127.4170848
4,F,*,*,5,EOLICO SING I,CenPotMax,EtaMes,162.4094725,187.6948146,76.25740613,185.6353991,98.59298046,181.3828655,110.0841641,169.806995,145.0438638,104.0010607,31.97458037,135.647221
4,F,*,*,6,EOLICO SING I,CenPotMax,EtaMes,162.4094725,187.6948146,76.25740613,185.6353991,98.59298046,181.3828655,110.0841641,169.806995,145.0438638,104.0010607,31.97458037,135.647221
4,F,*,*,7,EOLICO SING I,CenPotMax,EtaMes,66.88522745,108.1563218,142.7237583,63.47151475,70.79827088,55.00064215,52.86894419,48.90638812,25.12812357,9.417481929,6.895755594,22.25679482
