DemIndINum,DemIndAñoFRlt,DemIndAñoIni,DemIndAñoFin,DemIndBar,DemIndIBlo,DemIndEtaTip,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar
33,F,2017,2017,Alto Norte 110,1,EtaMes,1.023512571,1.012495899,0.994533966,1.003972303,1.008894705,1.065817037,0.996134473,0.960458806,1.087754467,1.019283673,0.976779044,1.003841012
34,F,2017,2017,Alto Norte 110,2,EtaMes,0.983364493,0.989073092,0.988417452,0.981406313,0.972585462,0.924437032,1.010425581,0.965935288,0.930666362,0.987689127,0.98770798,0.970151237
35,F,2017,2017,Alto Norte 110,3,EtaMes,1.007426673,0.990141192,0.995170436,0.998914626,1.040967946,1.078123716,1.009584238,0.982709527,1.089953632,1.015410341,1.000586951,1.016915727
36,F,2017,2017,Alto Norte 110,4,EtaMes,0.987788831,1.005449199,0.985981654,1.009127728,0.988924929,0.927818419,0.988366184,0.990506474,0.918331738,0.97895705,0.977433907,0.986318629
37,F,2017,2017,Alto Norte 110,5,EtaMes,0.998161512,1.022114191,0.991475709,1.018093609,1.027485724,1.087215035,1.001271715,1.009959764,1.139537654,1.001567836,0.999088043,1.006460018
38,F,2017,2017,Alto Norte 110,6,EtaMes,0.963427728,0.996366124,0.99082723,1.007551892,1.008529214,0.950516401,1.001448902,1.015758054,0.9588187,0.966940261,0.976828523,0.980433919
39,F,2017,2017,Alto Norte 110,7,EtaMes,1.049786205,1.025631975,0.999917939,1.037678745,1.035239717,1.103850847,1.018223754,1.033103119,1.128869762,1.011357153,1.026577735,1.021477586
40,F,2017,2017,Alto Norte 110,8,EtaMes,0.969982516,0.986925759,0.980619697,0.981018038,0.982771927,0.956731042,0.981045438,1.025670888,0.957853527,0.97122878,0.993034198,0.984743308
41,F,2017,2017,Alto Norte 110,9,EtaMes,1.065840562,1.042304688,1.030784719,1.038905756,1.042888789,1.140128025,1.03996883,1.046119485,1.130731362,1.076762414,1.02792696,1.069784097
42,F,2017,2017,Alto Norte 110,10,EtaMes,0.97255454,0.953590927,0.964880082,0.951280043,0.955590726,0.930386413,0.965660994,0.974517216,0.925161878,0.974214677,0.985461072,0.950669207
43,F,2017,2017,Alto Norte 110,11,EtaMes,1.047050025,1.037271203,1.052432695,1.051543534,1.022062166,1.146162134,1.043118295,1.069904157,1.138703935,1.048818632,1.060252244,1.069142042
44,F,2017,2017,Alto Norte 110,12,EtaMes,1.006214496,0.960870493,1.001082799,0.957453961,0.961176852,0.930008496,0.977782151,0.952222055,0.947813615,0.983589807,1.001422265,0.967146635
45,F,2017,2017,Alto Norte 110,13,EtaMes,1.037650814,1.071272678,1.044170598,1.044258428,1.026263002,1.156510868,1.040433505,1.0831251,1.178755775,1.072546804,1.085078826,1.082984322
46,F,2017,2017,Alto Norte 110,14,EtaMes,1.023774218,1.010995279,1.014340583,0.979564631,0.990813873,0.926008103,1.00948567,1.004971741,0.972232305,1.034473931,1.039386854,1.021744202
47,F,2017,2017,Alto Norte 110,15,EtaMes,1.063640579,1.038730348,1.058190945,1.058687555,1.040394921,1.152498743,1.016644718,1.018039443,1.14618517,1.039397592,1.024584041,1.057853474
48,F,2017,2017,Alto Norte 110,16,EtaMes,1.019335542,1.01013886,1.031294095,1.003456644,1.015018498,0.954207496,1.028030433,0.984852998,0.948591752,0.985928522,0.989473684,1.005109162
49,F,2018,2018,Alto Norte 110,1,EtaMes,1.023513712,1.0124942,0.994535455,1.003978331,1.008893661,1.065817991,0.996130487,0.960455866,1.087757136,1.01928992,0.976778176,1.003844342
50,F,2018,2018,Alto Norte 110,2,EtaMes,0.983364274,0.989072875,0.988415008,0.981404448,0.972584758,0.924436641,1.010425849,0.965936829,0.930668248,0.987689745,0.987711351,0.970153675
51,F,2018,2018,Alto Norte 110,3,EtaMes,1.007423082,0.990142846,0.99516982,0.998913627,1.040967585,1.078122653,1.009587205,0.982710263,1.089953746,1.015412778,1.000586132,1.01691557
52,F,2018,2018,Alto Norte 110,4,EtaMes,0.987790494,1.005449115,0.985981318,1.009126491,0.988925776,0.927819782,0.988366507,0.99050616,0.918332811,0.978957119,0.977434453,0.986316552
53,F,2018,2018,Alto Norte 110,5,EtaMes,0.998159014,1.022109708,0.991477189,1.018093424,1.027482721,1.087214093,1.001273771,1.009958801,1.139540596,1.001567648,0.999088731,1.006466017
54,F,2018,2018,Alto Norte 110,6,EtaMes,0.963423841,0.996363499,0.990831077,1.007555866,1.00852823,0.950517523,1.00144825,1.015760189,0.9588189,0.966938438,0.976826895,0.980439642
55,F,2018,2018,Alto Norte 110,7,EtaMes,1.049786332,1.025632075,0.999917768,1.0376789,1.035239676,1.103847814,1.018218832,1.033096897,1.128869274,1.011345889,1.026572126,1.021478142
56,F,2018,2018,Alto Norte 110,8,EtaMes,0.969981829,0.986923099,0.980619563,0.981016925,0.982773222,0.956729166,0.981044616,1.025669021,0.957854021,0.971228422,0.993030348,0.984747726
57,F,2018,2018,Alto Norte 110,9,EtaMes,1.065846108,1.042308914,1.030780406,1.038904299,1.042890047,1.140131547,1.03996836,1.046116293,1.130728055,1.076763063,1.027927258,1.069782681
58,F,2018,2018,Alto Norte 110,10,EtaMes,0.972553973,0.953591901,0.964880851,0.951278563,0.955591452,0.930387795,0.965660103,0.974518612,0.92516136,0.974214333,0.985462077,0.950670059
59,F,2018,2018,Alto Norte 110,11,EtaMes,1.047063421,1.03727986,1.052434963,1.051543058,1.022058773,1.146158935,1.043118727,1.069906483,1.138706898,1.048814389,1.060260061,1.069143336
60,F,2018,2018,Alto Norte 110,12,EtaMes,1.00621064,0.960865839,1.001086644,0.957454985,0.96117443,0.930009085,0.977783478,0.952222242,0.947811682,0.983591232,1.001421524,0.967144107
