DemIndNum,DemIndAñoFRlt,DemIndAñoIni,DemIndAñoFin,DemIndBar,DemIndTasa,DemIndFPot,DemIndEtaTip,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar
28,F,2028,2028,Alto Norte 110,0,F,EtaMes,45.81155511,46.30999051,44.2931508,45.27315177,45.90742148,45.22528793,46.4257493,45.74263609,47.27851712,49.00321995,44.90987601,48.93045109
29,F,2029,2029,Alto Norte 110,0,F,EtaMes,47.64452053,48.16289882,46.06536337,47.08457514,47.74422261,47.03479622,48.28328924,47.57284399,49.17017713,49.75863139,45.60218631,49.68474076
30,F,2030,2030,Alto Norte 110,0,F,EtaMes,48.37898688,48.90535626,46.77548614,47.81040963,48.48022592,47.75986334,49.02760256,48.3062054,49.92816231,50.25868789,46.06047202,50.18405469
31,F,2031,2031,Alto Norte 110,0,F,EtaMes,48.86517845,49.39683765,47.2455631,48.29088719,48.9674349,48.23983293,49.52031248,48.79166554,50.42992254,51.45608894,47.15785159,51.37967761
32,F,2032,*,Alto Norte 110,0,F,EtaMes,50.02937946,50.57370532,48.37117718,49.44140586,50.13407215,49.38913525,50.70012191,49.95411513,51.63140321,53.25439265,48.80593914,53.17531088
33,F,2017,2017,Arica 110,0,F,EtaMes,1.223291174,1.293174364,1.279626951,1.351388001,1.38049482,1.364130618,1.438708457,1.420466396,1.496922094,1.434487297,1.295665946,1.434487297
34,F,2018,2018,Arica 110,0,F,EtaMes,1.388213513,1.434487297,1.388213513,1.434487297,1.434487297,1.388213513,1.434487297,1.388213513,1.434487297,1.537784031,1.388966222,1.537784031
35,F,2019,2019,Arica 110,0,F,EtaMes,1.488178095,1.537784031,1.488178095,1.537784031,1.537784031,1.488178095,1.537784031,1.488178095,1.537784031,1.579652375,1.477739319,1.579652375
36,F,2020,2020,Arica 110,0,F,EtaMes,1.528695847,1.579652375,1.528695847,1.579652375,1.579652375,1.528695847,1.579652375,1.528695847,1.579652375,1.653563086,1.493540852,1.653563086
37,F,2021,2021,Arica 110,0,F,EtaMes,1.600222341,1.653563086,1.600222341,1.653563086,1.653563086,1.600222341,1.653563086,1.600222341,1.653563086,1.698879969,1.53447223,1.698879969
38,F,2022,2022,Arica 110,0,F,EtaMes,1.64407739,1.698879969,1.64407739,1.698879969,1.698879969,1.64407739,1.698879969,1.64407739,1.698879969,1.766583169,1.595623508,1.766583169
39,F,2023,2023,Arica 110,0,F,EtaMes,1.709596616,1.766583169,1.709596616,1.766583169,1.766583169,1.709596616,1.766583169,1.709596616,1.766583169,1.788226479,1.672857029,1.788226479
40,F,2024,2024,Arica 110,0,F,EtaMes,1.730541754,1.788226479,1.730541754,1.788226479,1.788226479,1.730541754,1.788226479,1.730541754,1.788226479,1.83781731,1.659964022,1.83781731
41,F,2025,2025,Arica 110,0,F,EtaMes,1.778532881,1.83781731,1.778532881,1.83781731,1.83781731,1.778532881,1.83781731,1.778532881,1.83781731,1.926066473,1.739672943,1.926066473
42,F,2026,2026,Arica 110,0,F,EtaMes,1.863935296,1.926066473,1.863935296,1.926066473,1.926066473,1.863935296,1.926066473,1.863935296,1.926066473,2.000668004,1.807054971,2.000668004
43,F,2027,2027,Arica 110,0,F,EtaMes,1.936130326,2.000668004,1.936130326,2.000668004,2.000668004,1.936130326,2.000668004,1.936130326,2.000668004,2.069910678,1.936368053,2.069910678
44,F,2028,2028,Arica 110,0,F,EtaMes,2.003139366,2.069910678,2.003139366,2.069910678,2.069910678,2.003139366,2.069910678,2.003139366,2.069910678,2.149808173,1.94176222,2.149808173
45,F,2029,2029,Arica 110,0,F,EtaMes,2.080459522,2.149808173,2.080459522,2.149808173,2.149808173,2.080459522,2.149808173,2.080459522,2.149808173,2.17690198,1.966234047,2.17690198
46,F,2030,2030,Arica 110,0,F,EtaMes,2.106679336,2.17690198,2.106679336,2.17690198,2.17690198,2.106679336,2.17690198,2.106679336,2.17690198,2.19781499,1.985123217,2.19781499
47,F,2031,2031,Arica 110,0,F,EtaMes,2.126917732,2.19781499,2.126917732,2.19781499,2.19781499,2.126917732,2.19781499,2.126917732,2.19781499,2.255213953,2.036967441,2.255213953
48,F,2032,*,Arica 110,0,F,EtaMes,2.182465115,2.255213953,2.182465115,2.255213953,2.255213953,2.182465115,2.255213953,2.182465115,2.255213953,2.334579415,2.108652375,2.334579415
49,F,2017,2017,Calama 110,0,F,EtaMes,0.594380557,0.684577696,0.624067654,0.671013595,0.639758414,0.642084467,0.666832574,0.652072822,0.696719097,0.702879604,0.630636552,0.678765391
50,F,2018,2018,Calama 110,0,F,EtaMes,0.637437464,0.73416848,0.669275093,0.719621796,0.686102492,0.688597043,0.715137903,0.699308955,0.747189404,0.753493623,0.676048384,0.727642957
51,F,2019,2019,Calama 110,0,F,EtaMes,0.683339027,0.787035596,0.717469268,0.771441413,0.735508399,0.738182582,0.766634636,0.749665853,0.80099415,0.776129123,0.696357373,0.749501884
52,F,2020,2020,Calama 110,0,F,EtaMes,0.703867032,0.810678722,0.73902257,0.794616078,0.75760361,0.760358127,0.789664902,0.772186365,0.825056601,0.810223812,0.726947757,0.782426862
53,F,2021,2021,Calama 110,0,F,EtaMes,0.734787309,0.846291146,0.7714872,0.829522883,0.790884489,0.79376001,0.824354207,0.806107852,0.861300633,0.832428479,0.746870194,0.803869737
54,F,2022,2022,Calama 110,0,F,EtaMes,0.754924594,0.86948426,0.792630267,0.852256452,0.812559151,0.815513477,0.846946126,0.828199718,0.884905091,0.865602143,0.776634217,0.835905286
55,F,2023,2023,Calama 110,0,F,EtaMes,0.785009598,0.904134657,0.824217905,0.886220294,0.844940988,0.848013049,0.880698341,0.861204859,0.920170034,0.878607642,0.788302991,0.848464597
56,F,2024,2024,Calama 110,0,F,EtaMes,0.796804211,0.917719101,0.836601615,0.899535577,0.857636058,0.860754276,0.893930658,0.87414429,0.933995406,0.90050592,0.80795053,0.869611594
57,F,2025,2025,Calama 110,0,F,EtaMes,0.816663632,0.940592186,0.857452941,0.921955459,0.879011643,0.882207579,0.916210844,0.895931323,0.957274159,0.94374683,0.846747072,0.911369006
58,F,2026,2026,Calama 110,0,F,EtaMes,0.855878565,0.985757977,0.898626513,0.966226343,0.921220431,0.924569831,0.960205881,0.938952568,1.003240993,0.980300583,0.879543774,0.946668682
59,F,2027,2027,Calama 110,0,F,EtaMes,0.889028953,1.02393893,0.93343264,1.003650786,0.956901679,0.960380809,0.997397135,0.975320627,1.042099108,1.017007276,0.912477697,0.982116051
60,F,2028,2028,Calama 110,0,F,EtaMes,0.922318042,1.062279632,0.968384394,1.041231811,0.992732216,0.99634162,1.034743997,1.01184085,1.081119806,1.053377272,0.945109529,1.017238275
61,F,2029,2029,Calama 110,0,F,EtaMes,0.955301782,1.100268648,1.00301555,1.07846812,1.028234092,1.031972576,1.07174829,1.048026085,1.11978258,1.066652876,0.957020645,1.030058423
62,F,2030,2030,Calama 110,0,F,EtaMes,0.96734135,1.114135219,1.01565645,1.092059941,1.041192819,1.044978418,1.085255422,1.061234248,1.133895083,1.076899971,0.966214528,1.039953963
63,F,2031,2031,Calama 110,0,F,EtaMes,0.976634382,1.124838467,1.025413634,1.102551116,1.051195325,1.055017292,1.095681228,1.071429288,1.144788159,1.105024696,0.99144855,1.067113792
64,F,2032,*,Calama 110,0,F,EtaMes,1.002140532,1.154215171,1.052193722,1.131345756,1.078648738,1.08257052,1.124296451,1.099411138,1.174685877,1.143912712,1.026339596,1.104667648
65,F,2017,2017,Centro 110,0,F,EtaMes,3.409883522,3.332669595,3.147342135,3.173767472,3.188699377,3.093241021,3.395838745,3.447020938,3.660008252,4.227977903,4.010415762,4.18478826
66,F,2018,2018,Centro 110,0,F,EtaMes,3.951566455,3.862086577,3.647318603,3.677941782,3.695245721,3.584623164,3.935290571,3.9946034,4.241425181,4.196060665,3.980140913,4.153197063
67,F,2019,2019,Centro 110,0,F,EtaMes,3.921735862,3.832931473,3.619784794,3.650176797,3.667350107,3.557562646,3.905582846,3.964447919,4.209406428,4.844090744,4.697261974,4.794661981
68,F,2020,2020,Centro 110,0,F,EtaMes,4.527749252,4.425343226,4.179550145,4.21459711,4.234400753,4.107797804,4.509122175,4.57700326,4.859480598,4.948841498,4.694185354,4.898288089
69,F,2021,2021,Centro 110,0,F,EtaMes,4.625302332,4.520566275,4.269180698,4.305025082,4.325279315,4.195795786,4.606251436,4.675677009,4.964581515,5.409149522,5.130806972,5.353893974
70,F,2022,2022,Centro 110,0,F,EtaMes,5.055516914,4.941039012,4.666271236,4.705449624,4.727587769,4.586060551,5.034694031,5.110577105,5.42635357,5.162121575,4.896490522,5.109389467
71,F,2023,2023,Centro 110,0,F,EtaMes,4.824638851,4.715388988,4.453169454,4.490558622,4.511685751,4.376621874,4.804766919,4.877184524,5.17853994,5.620417804,5.331203868,5.563004108
72,F,2024,2024,Centro 110,0,F,EtaMes,5.252973162,5.134024031,4.848524491,4.889233092,4.912235899,4.765180971,5.231336988,5.310183871,5.6382938,6.059887069,5.748059043,5.997984106
73,F,2025,2025,Centro 110,0,F,EtaMes,5.663711356,5.535461406,5.22763821,5.27152988,5.296331313,5.13777793,5.640383415,5.72539546,6.079160817,5.86620138,5.564339979,5.806276955
74,F,2026,2026,Centro 110,0,F,EtaMes,5.482688207,5.358537373,5.0605528,5.103041608,5.12705034,4.973564628,5.460105873,5.542400768,5.884859102,6.042595563,5.731657318,5.980869236
75,F,2027,2027,Centro 110,0,F,EtaMes,5.647550313,5.519666315,5.212721473,5.256487902,5.281218566,5.123117604,5.624288937,5.709058405,6.061814315,6.270367007,5.947708161,6.20631395
76,F,2028,2028,Centro 110,0,F,EtaMes,5.8604308,5.727726304,5.40921139,5.454627563,5.480290432,5.316229965,5.836292603,5.924257397,6.290310197,6.521250564,6.18568182,6.454634681
77,F,2029,2029,Centro 110,0,F,EtaMes,6.094912406,5.956898273,5.625639263,5.672872582,5.699562248,5.52893756,6.069808416,6.161292768,6.541991701,6.621779209,6.281037489,6.554136406
78,F,2030,2030,Centro 110,0,F,EtaMes,6.188868815,6.048727119,5.71236157,5.760323016,5.787424118,5.614169157,6.163377833,6.256272467,6.642840081,6.688325729,6.344159676,6.620003139
79,F,2031,2031,Centro 110,0,F,EtaMes,6.25106474,6.109514669,5.769768767,5.818212209,5.845585667,5.670589555,6.225317583,6.319145774,6.709598255,6.847673467,6.495307741,6.777723108
