DemVegINum,DemVegAñoFRlt,DemVegAñoIni,DemVegAñoFin,DemVegBar,DemVegTasa,DemVegEtaTip,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar
27,F,2028,2028,Alto Jahuel 110,0,EtaMes,0.083907887,0.085253136,0.086787789,0.085376391,0.084879161,0.084227685,0.08286757,0.080803747,0.078865025,0.077418504,0.077331754,0.079152856
28,F,2029,2029,Alto Jahuel 110,0,EtaMes,0.084051015,0.08540086,0.08693383,0.085521987,0.085027019,0.084375673,0.083010359,0.080940296,0.078997044,0.077563309,0.077477839,0.079301716
29,F,2030,2030,Alto Jahuel 110,0,EtaMes,0.084210654,0.085565234,0.087096774,0.085684272,0.085191317,0.08453998,0.083169588,0.081092891,0.07914448,0.077729873,0.077645655,0.079472727
30,F,2031,*,Alto Jahuel 110,0,EtaMes,0.084394292,0.085753675,0.087284288,0.085870724,0.085379425,0.084727926,0.083352855,0.08126887,0.079314195,0.077901703,0.077818623,0.079648795
31,F,2017,2017,Alto Jahuel 154,0,EtaMes,0.036506849,0.035344046,0.035157966,0.034349076,0.03340626,0.033375452,0.0333635,0.034774133,0.035236595,0.034332477,0.03687914,0.03826053
32,F,2018,2018,Alto Jahuel 154,0,EtaMes,0.037954934,0.036605419,0.0364408,0.035995808,0.035052289,0.035152329,0.035047456,0.036480329,0.036776887,0.035593487,0.038172756,0.039104921
33,F,2019,2019,Alto Jahuel 154,0,EtaMes,0.038666135,0.036992602,0.036804299,0.035930712,0.035090332,0.035364114,0.035219382,0.036593047,0.036960954,0.035942196,0.038539797,0.039490959
34,F,2020,2020,Alto Jahuel 154,0,EtaMes,0.039067274,0.037392834,0.037210917,0.03632962,0.035472308,0.035736296,0.035582791,0.036966044,0.037323181,0.036227863,0.038842679,0.039808718
35,F,2021,2021,Alto Jahuel 154,0,EtaMes,0.039394937,0.037716589,0.037535833,0.036649628,0.035780924,0.036040992,0.035880642,0.037270513,0.037619625,0.036319074,0.038940525,0.039911025
36,F,2022,2022,Alto Jahuel 154,0,EtaMes,0.039499985,0.037820491,0.037639191,0.036751072,0.035879501,0.036138908,0.03597531,0.037365615,0.037711427,0.036422415,0.039052181,0.040027223
37,F,2023,2023,Alto Jahuel 154,0,EtaMes,0.039618413,0.037936837,0.037753568,0.036864469,0.03598985,0.036249242,0.036082105,0.037473076,0.037816281,0.036552273,0.039191928,0.04017196
38,F,2024,2024,Alto Jahuel 154,0,EtaMes,0.039765508,0.038080921,0.037895593,0.037005037,0.036126642,0.036386181,0.036215467,0.037607963,0.037948728,0.036649904,0.039297144,0.040281425
39,F,2025,2025,Alto Jahuel 154,0,EtaMes,0.039876942,0.038189937,0.03800289,0.037111318,0.036230101,0.03648982,0.036316599,0.037710115,0.038048891,0.036703965,0.039355831,0.040341837
40,F,2026,2026,Alto Jahuel 154,0,EtaMes,0.039938182,0.038249806,0.038061099,0.037169274,0.036286734,0.036546766,0.036371805,0.037765376,0.038103394,0.036765201,0.039422271,0.040410107
41,F,2027,2027,Alto Jahuel 154,0,EtaMes,0.040007511,0.038317499,0.038127025,0.037234713,0.036350676,0.036611026,0.036434113,0.037828021,0.038165302,0.036833185,0.039495832,0.040485648
42,F,2028,2028,Alto Jahuel 154,0,EtaMes,0.04008432,0.038392449,0.038200209,0.037307372,0.036421615,0.03668227,0.036503341,0.037897753,0.038234217,0.03690776,0.039576384,0.040568377
43,F,2029,2029,Alto Jahuel 154,0,EtaMes,0.040168399,0.038474479,0.038280483,0.037386985,0.036499301,0.036760247,0.03657929,0.03797442,0.038310042,0.0369927,0.039667948,0.040662429
44,F,2030,2030,Alto Jahuel 154,0,EtaMes,0.040263959,0.038567612,0.038371904,0.037477531,0.036587582,0.036848853,0.03666589,0.038062072,0.038396747,0.037092759,0.039775592,0.040773152
