DemVegINum,DemVegAñoFRlt,DemVegAñoIni,DemVegAñoFin,DemVegBar,DemVegTasa,DemVegEtaTip,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar
28,F,2029,2029,Agua Santa 110,0,EtaMes,0.021804391,0.021457707,0.020690576,0.0212429,0.021815354,0.022528826,0.022553964,0.021575003,0.021513437,0.022667167,0.022113816,0.021417254
29,F,2030,2030,Agua Santa 110,0,EtaMes,0.021781661,0.021432501,0.020662074,0.021212694,0.021787122,0.022501374,0.02253292,0.021560205,0.021499722,0.022654906,0.022099367,0.021407985
30,F,2031,*,Agua Santa 110,0,EtaMes,0.021764068,0.021412424,0.020638657,0.02118788,0.021764193,0.022479564,0.022517442,0.021550582,0.021491029,0.022635716,0.022078032,0.021392162
31,F,2017,2017,Alonso de Cordova 110,0,EtaMes,0.013248502,0.013271592,0.012921193,0.012898121,0.012978808,0.012517996,0.012030412,0.012498386,0.012029811,0.010862901,0.010902516,0.010432539
32,F,2018,2018,Alonso de Cordova 110,0,EtaMes,0.011414995,0.010984302,0.010987783,0.011107948,0.011166727,0.010570868,0.010033989,0.010713646,0.010212022,0.008355183,0.008451372,0.008704799
33,F,2019,2019,Alonso de Cordova 110,0,EtaMes,0.010368738,0.009334311,0.009741295,0.009752777,0.009802672,0.008979408,0.008375602,0.009370704,0.00880498,0.008217246,0.00831034,0.008561699
34,F,2020,2020,Alonso de Cordova 110,0,EtaMes,0.01020324,0.009189389,0.009592197,0.009604018,0.009651096,0.008837432,0.008241498,0.009219556,0.008659641,0.008131323,0.008222706,0.008472976
35,F,2021,2021,Alonso de Cordova 110,0,EtaMes,0.010100807,0.009099599,0.009499136,0.009511568,0.009557179,0.008749951,0.008158662,0.009125706,0.008569042,0.008111149,0.008202304,0.008452369
36,F,2022,2022,Alonso de Cordova 110,0,EtaMes,0.010077095,0.009079057,0.009477653,0.009490194,0.009535592,0.008729883,0.008139317,0.009103313,0.008547118,0.008090798,0.008181892,0.008431689
37,F,2023,2023,Alonso de Cordova 110,0,EtaMes,0.01005318,0.00905824,0.009455536,0.009468491,0.009513704,0.008709681,0.008119803,0.009080684,0.008525117,0.008067369,0.008158293,0.008407666
38,F,2024,2024,Alonso de Cordova 110,0,EtaMes,0.010025365,0.009033969,0.009429828,0.009443231,0.009488223,0.008686187,0.008097246,0.009054626,0.008499892,0.008051398,0.008142239,0.008391441
39,F,2025,2025,Alonso de Cordova 110,0,EtaMes,0.010006649,0.009017672,0.009412489,0.009426253,0.0094711,0.008670412,0.008082096,0.009037036,0.008482792,0.008044463,0.00813536,0.008384387
40,F,2026,2026,Alonso de Cordova 110,0,EtaMes,0.009998449,0.009010596,0.009404729,0.009418766,0.009463607,0.008663567,0.008075394,0.009029089,0.008475119,0.008036307,0.008127257,0.008376052
41,F,2027,2027,Alonso de Cordova 110,0,EtaMes,0.009988789,0.009002223,0.009395599,0.009409891,0.009454722,0.008655438,0.008067457,0.00901977,0.008466152,0.00802711,0.008118078,0.0083666
42,F,2028,2028,Alonso de Cordova 110,0,EtaMes,0.009977863,0.008992728,0.009385309,0.009399887,0.009444688,0.008646243,0.008058524,0.009009315,0.008456091,0.00801694,0.008107896,0.00835612
43,F,2029,2029,Alonso de Cordova 110,0,EtaMes,0.009965742,0.008982183,0.009373934,0.009388802,0.009433558,0.008636031,0.008048649,0.008997802,0.008445021,0.008005345,0.008096253,0.008344139
44,F,2030,2030,Alonso de Cordova 110,0,EtaMes,0.009951889,0.0089701,0.009360981,0.009376146,0.009420829,0.008624347,0.008037422,0.008984765,0.008432481,0.007991789,0.008082597,0.008330123
45,F,2031,*,Alonso de Cordova 110,0,EtaMes,0.009935707,0.008955941,0.009345916,0.009361376,0.009405959,0.008610694,0.008024405,0.008969703,0.00841796,0.007977463,0.008068146,0.008315271
46,F,2017,2017,Altamirano 110,0,EtaMes,0.011608057,0.011915438,0.011953242,0.012028788,0.012084407,0.011990411,0.011614732,0.011537301,0.011225902,0.010282304,0.008966515,0.009367317
47,F,2018,2018,Altamirano 110,0,EtaMes,0.010891195,0.011233301,0.011251503,0.011311839,0.011246196,0.011074781,0.01071265,0.010716204,0.010306185,0.009785401,0.008172347,0.0086628
48,F,2019,2019,Altamirano 110,0,EtaMes,0.010609142,0.011036249,0.010983338,0.011265772,0.011114128,0.010901369,0.010575093,0.010699411,0.010186401,0.009623853,0.008035971,0.00852039
49,F,2020,2020,Altamirano 110,0,EtaMes,0.010439807,0.010864903,0.010815229,0.011093935,0.010942273,0.010729004,0.010405772,0.010526831,0.01001826,0.009523222,0.007951231,0.008432095
50,F,2021,2021,Altamirano 110,0,EtaMes,0.010334999,0.010758742,0.010710303,0.010987143,0.010835792,0.010622799,0.010301182,0.010419674,0.009913447,0.009499594,0.007931502,0.008411587
51,F,2022,2022,Altamirano 110,0,EtaMes,0.010310737,0.010734454,0.010686081,0.010962453,0.010811317,0.010598436,0.010276758,0.010394106,0.009888082,0.00947576,0.007911764,0.008391007
52,F,2023,2023,Altamirano 110,0,EtaMes,0.010286268,0.010709841,0.010661144,0.010937383,0.0107865,0.01057391,0.010252119,0.010368268,0.00986263,0.00944832,0.007888944,0.0083671
53,F,2024,2024,Altamirano 110,0,EtaMes,0.010257808,0.010681145,0.010632158,0.010908205,0.01075761,0.010545387,0.010223638,0.010338515,0.009833447,0.009429616,0.00787342,0.008350954
54,F,2025,2025,Altamirano 110,0,EtaMes,0.010238658,0.010661877,0.010612608,0.010888592,0.010738196,0.010526236,0.01020451,0.010318431,0.009813665,0.009421493,0.007866768,0.008343934
