INum,SecFOpe,SecIIni,SecIFin,SecFecIni,SecFecFin,SecIBlo,EstFPri,EstFDep,EleTip,EleNom,EleFOpe,EleOpePro,EleOpePotMax,EleOpeCosVar,EleOpeCenRen,EleOpeCosOpe
58,T,5,5,*,*,*,F,T,LinSis,Tap Arica 66 -> Tap Quiani 66,T,1,*,*,*,*
59,T,5,5,*,*,*,F,T,LinSis,Arica 110 -> Dolores 110,F,1,*,*,*,*
60,T,5,5,*,*,*,F,T,LinSis,Dolores 110 -> Pozo Almonte 110,T,1,*,*,*,*
61,T,5,5,*,*,*,F,T,LinSis,Arica 110 -> Parinacota 110,T,1,*,*,*,*
62,T,5,5,*,*,*,F,T,LinSis,Iquique 66 -> Cavancha 66,T,1,*,*,*,*
63,T,5,5,*,*,*,F,T,LinSis,Cavancha 66 -> Pozo Almonte 66,T,1,*,*,*,*
64,T,5,5,*,*,*,F,T,LinSis,Iquique 66 -> Pozo Almonte 66,T,1,*,*,*,*
65,T,5,5,*,*,*,F,T,LinSis,Condores 110 -> Iquique 110,T,1,*,*,*,*
66,T,5,5,*,*,*,F,T,LinSis,Condores 110 -> Pozo Almonte 110,T,1,*,*,*,*
67,T,5,5,*,*,*,F,T,SisFal,SING,T,1,*,3000,*,*
68,T,6,6,*,*,*,T,F,SecOpeAlt,Fallas en Linea STx Arica-Iquique Transelec,T,2.21E-04,*,*,*,*
69,T,6,6,*,*,*,F,T,LinSis,Lagunas 220 -> Tarapaca 220-2,T,1,*,*,*,*
70,T,6,6,*,*,*,F,T,LinSis,Lagunas 220 -> Tarapaca 220-1,T,1,*,*,*,*
71,T,6,6,*,*,*,F,T,LinSis,Tarapaca 220 -> Condores 220,T,1,*,*,*,*
72,T,6,6,*,*,*,F,T,LinSis,Parinacota 110 -> Condores 110,T,1,*,*,*,*
73,T,6,6,*,*,*,F,T,LinSis,Pozo Almonte 220 -> Lagunas 220,T,1,*,*,*,*
74,T,6,6,*,*,*,F,T,LinSis,Tap Arica 66 -> Tap Quiani 66,T,1,*,*,*,*
75,T,6,6,*,*,*,F,T,LinSis,Arica 110 -> Dolores 110,T,1,*,*,*,*
76,T,6,6,*,*,*,F,T,LinSis,Dolores 110 -> Pozo Almonte 110,F,1,*,*,*,*
77,T,6,6,*,*,*,F,T,LinSis,Arica 110 -> Parinacota 110,T,1,*,*,*,*
78,T,6,6,*,*,*,F,T,LinSis,Iquique 66 -> Cavancha 66,T,1,*,*,*,*
79,T,6,6,*,*,*,F,T,LinSis,Cavancha 66 -> Pozo Almonte 66,T,1,*,*,*,*
80,T,6,6,*,*,*,F,T,LinSis,Iquique 66 -> Pozo Almonte 66,T,1,*,*,*,*
