LinINum,LinNom,LinFOpe,LinFecOpeIni,LinFecOpeFin,LinBarA,LinBarB,LinBarSis,LinFPrtFlu,LinFPrtHis,LinNIntHis,LinFPrtInd,LinFCC,LinPotMaxA->B,LinPotMaxB->A,LinFMax,LinFPri,LinFN-1,LinPotN-1A->B,LinPotN-1B->A,LinVolt,LinR,LinX,LinFPer,LinNTra,LinDisEne,LinFPeaCal,LinPeaSis,LinPeaTip,LinFTipDef,LinFInv,LinFecInv,LinVI,LinCOMA,LinVidUti,LinEmp,LinAux
20,Cardones 220->Maitencillo 220,T,*,MesAgo-2016,Cardones 220,Maitencillo 220,*,F,F,101,F,F,591,591,T,T,T,420,420,220,4.4044,17.57888,T,5,1,T,TxT,Iny,F,F,*,35.857,0.875,30,Transelec,SIC
21,Cardones 220->Maitencillo 220 II,T,MesSep-2016,MesDic-2017,Cardones 220,Maitencillo 220,*,F,F,101,F,F,591,591,T,T,T,520,520,220,4.4044,17.57888,T,5,1,T,TxT,Iny,F,F,*,35.857,0.875,30,Transelec,SIC
22,Cardones 220->Maitencillo 220 III,T,MesEne-2018,MesOct-2019,Cardones 220,Maitencillo 220,*,F,F,101,F,F,660,660,T,T,T,660,660,220,4.4044,17.57888,T,5,1,T,TxT,Iny,F,F,*,35.857,0.875,30,Transelec,SIC
23,Cardones 220->Algarrobal 220,T,MesNov-2019,*,Cardones 220,Algarrobal 220,*,F,F,101,F,F,660,660,T,T,T,660,660,220,2.2022,8.78944,T,5,1,T,TxT,Iny,F,F,*,35.857,0.875,30,Transelec,SIC
24,Algarrobal 220->Algarrobal 220 Aux,T,MesNov-2019,*,Algarrobal 220,Algarrobal 220 Aux,*,F,F,101,F,F,660,660,T,T,T,660,660,220,0,0.0001,T,5,1,F,TxT,Cmn,F,F,*,0,0,30,CNE,SIC
25,Algarrobal 220 Aux->Maitencillo 220,T,MesNov-2019,*,Algarrobal 220 Aux,Maitencillo 220,*,F,F,101,F,F,660,660,T,T,T,660,660,220,2.2022,8.78944,T,5,1,T,TxT,Iny,F,F,*,35.857,0.875,30,Transelec,SIC
26,Maitencillo 220->Don Hector 220,T,*,MesDic-2017,Maitencillo 220,Don Hector 220,*,F,F,101,F,F,394,394,T,T,T,394,197,220,3.771918457,15.02149585,T,5,1,T,TxT,Iny,F,F,*,0,0,30,Transelec,SIC
27,Don Hector 220->Don Hector 220 Aux,T,*,MesDic-2017,Don Hector 220,Don Hector 220 Aux,*,F,F,101,F,F,394,394,T,T,T,394,197,220,0,0.0001,T,5,1,F,TxT,Iny,F,F,*,0,0,30,Transelec,SIC
28,Don Hector 220 Aux->Punta Colorada 220,T,*,MesDic-2017,Don Hector 220 Aux,Punta Colorada 220,*,F,F,101,F,F,394,394,T,T,T,394,197,220,1.590342604,6.333467992,T,5,1,T,TxT,Iny,F,F,*,0,0,30,Transelec,SIC
29,Punta Colorada 220->Pan de Azucar 220,T,*,MesDic-2017,Punta Colorada 220,Pan de Azucar 220,*,F,F,101,F,F,394,394,T,T,T,394,197,220,4.323992158,17.22010456,T,5,1,T,TxT,Iny,F,F,*,16.969,0.4285,30,Transelec,SIC
30,Las Palmas 220->Los Vilos 220,T,*,*,Las Palmas 220,Los Vilos 220,*,F,F,101,F,F,446,446,T,T,T,400,224,220,3.378668,15.096097,T,5,1,T,TxT,Iny,F,F,*,14.327,0.383,30,Transelec,SIC
31,Los Vilos 220->Nogales 220,T,*,*,Los Vilos 220,Nogales 220,*,F,F,101,F,F,446,446,T,T,T,400,224,220,4.6948,18.6824,T,5,1,T,TxT,Ret,F,F,*,100,10,30,Otro,SIC
32,Nogales 220->Polpaico 220,T,MesNov-2011,*,Nogales 220,Polpaico 220,*,F,F,101,F,F,3000,3000,T,T,T,1500,1500,220,0.469665,7.04424,T,5,1,T,TxT,Ret,F,F,*,100,10,30,Otro,SIC
