LinINum,LinNom,LinFOpe,LinFecOpeIni,LinFecOpeFin,LinBarA,LinBarB,LinBarSis,LinFPrtFlu,LinFPrtHis,LinNIntHis,LinFPrtInd,LinFCC,LinPotMaxA->B,LinPotMaxB->A,LinFMax,LinFPri,LinFN-1,LinPotN-1A->B,LinPotN-1B->A,LinVolt,LinR,LinX,LinFPer,LinNTra,LinDisEne,LinFPeaCal,LinPeaSis,LinPeaTip,LinFTipDef,LinFInv,LinFecInv,LinVI,LinCOMA,LinVidUti,LinEmp,LinAux,LinAux,LinAux,LinAux
20,Diego de Almagro 220->Diego de Almagro 220 Aux,T,*,MesJun-2017,Diego de Almagro 220,Diego de Almagro 220 Aux,*,F,F,101,F,F,684,684,T,T,T,342,342,220,0,0.0001,T,5,1,F,TxT,Cmn,F,F,*,0,0,30,CNE,SIC,TxT,Ln,220
21,Diego de Almagro 220->Diego de Almagro 220 Aux II,T,MesJul-2017,*,Diego de Almagro 220,Diego de Almagro 220 Aux,*,F,F,101,F,F,1026,1026,T,T,T,684,684,220,0,0.0001,T,5,1,F,TxT,Cmn,F,F,*,0,0,30,CNE,SIC,TxT,Ln,220
22,Pan de Azucar 500->Polpaico 500,T,MesEne-2018,*,Pan de Azucar 500,Polpaico 500,*,F,F,101,F,F,3400,3400,T,T,T,1700,1700,500,4.5,25.21,T,5,1,T,TxT,Ret,F,F,*,100,10,30,Plan de Obra,SIC,TxT,Ln,500
23,Pan de Azucar 500->Polpaico 500 II,F,MesNov-2019,*,Pan de Azucar 500,Polpaico 500,*,F,F,101,F,F,3400,3400,T,T,T,1700,1700,500,4.5,39.42414894,T,5,1,T,TxT,Ret,F,F,*,100,10,30,Plan de Obra,SIC,TxT,Ln,500
24,Pan de Azucar 500->Pan de Azucar 220,T,MesEne-2018,*,Pan de Azucar 500,Pan de Azucar 220,*,F,F,101,F,F,750,750,T,T,T,750,750,500,0.5,48.75,T,5,1,T,TxT,Ret,F,F,*,19.488,0.53,30,Transelec,SIC,TxT,Tr,500/220
25,Pan de Azucar 500->Maitencillo 500,T,MesDic-2017,*,Pan de Azucar 500,Maitencillo 500,*,F,F,101,F,F,3400,3400,T,T,T,1700,1700,500,2.34,12.754,T,5,1,T,TxT,Ret,F,F,*,100,10,30,Plan de Obra,SIC,TxT,Ln,500
26,Maitencillo 500->Maitencillo 220,T,MesEne-2018,*,Maitencillo 500,Maitencillo 220,*,F,F,101,F,F,750,750,T,T,T,750,750,500,0.5,48.75,T,5,1,T,TxT,Ret,F,F,*,19.488,0.53,30,Transelec,SIC,TxT,Tr,500/220
27,Maitencillo 500->Cardones 500,T,MesDic-2017,*,Maitencillo 500,Cardones 500,*,F,F,101,F,F,3400,3400,T,T,T,1700,1700,500,1.484,17.905,T,5,1,T,TxT,Ret,F,F,*,100,10,30,Plan de Obra,SIC,TxT,Ln,500
28,Cardones 500->Cardones 220,T,MesEne-2018,*,Cardones 500,Cardones 220,*,F,F,101,F,F,750,750,T,T,T,750,750,500,0.5,48.75,T,5,1,T,TxT,Ret,F,F,*,19.488,0.53,30,Transelec,SIC,TxT,Tr,500/220
29,Cardones 110->Castilla 110,T,*,*,Cardones 110,Castilla 110,*,F,F,101,F,F,46,46,T,F,F,46,46,110,14.6168,20.6184,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Transelec,SIC,STX B,Ln,110
30,Castilla 110->Punta Toro 110,F,*,*,Castilla 110,Punta Toro 110,*,F,F,101,F,F,46,46,T,F,F,46,46,110,17.424,24.5751,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Transelec,SIC,STX B,Ln,110
31,Punta Toro 110->Maitencillo 110,T,*,*,Punta Toro 110,Maitencillo 110,*,F,F,101,F,F,46,46,T,F,F,46,46,110,7.7682,10.9626,T,3,1,F,STx,Cmn,F,F,*,0,0,30,Transelec,SIC,STX B,Ln,110
32,Maitencillo 110->Huasco 110,T,*,*,Maitencillo 110,Huasco 110,*,F,F,101,F,F,124,124,T,F,F,124,124,110,5.039533794,6.657528851,T,3,1,F,STx,Cmn,F,F,*,7.91,0.22,30,Transelec,SIC,STx B,Ln,110
