BarINum,BarNom,BarFOpe,BarFecOpeIni,BarFecOpeFin,BarFacPen,BarVtjOpe,BarVtjBas,BarSis,BarTip,BarSTxPNdEne,BarSTxPNdPot,BarEmp,BarAux,CenFalFBarAlt,CenFalBarAlt,BarFPri,BarPriAso,BarCliTip,BarFOpt,BarOptAso
37,Batuco 110,T,*,*,1,110,110,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Batuco 110,F,Cerro Navia 220,CliCmn,F,Cerro Navia 110
38,Polpaico 500,T,MesJun-2008,*,1,500,500,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Polpaico 500,T,Polpaico 500,CliCmn,T,Polpaico 500
39,Polpaico 220,T,*,*,1,220,220,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Polpaico 220,T,Polpaico 220,CliCmn,T,Polpaico 220
40,Polpaico Desf 220,T,MesAgo-2010,*,1,220,220,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Polpaico Desf 220,F,Polpaico 220,CliCmn,T,Polpaico Desf 220
41,Lampa 220,T,*,*,1,220,220,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Lampa 220,T,Lampa 220,CliCmn,T,Lampa 220
42,Cerro Navia 220,T,*,*,1,220,220,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Cerro Navia 220,T,Cerro Navia 220,CliCmn,T,Cerro Navia 220
43,Cerro Navia 110,T,*,*,1,110,110,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Cerro Navia 110,F,Cerro Navia 220,CliCmn,T,Cerro Navia 110
44,Chena 110,T,*,*,1,110,110,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Chena 110,F,Chena 220,CliCmn,T,Chena 110
45,San Cristobal 110,T,*,*,1,110,110,SIC TxT Comun,TxT,50,6,CNE,CNE,F,San Cristobal 110,F,Cerro Navia 220,CliCmn,F,Cerro Navia 110
46,Florida 110,T,*,*,1,110,110,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Florida 110,F,Alto Jahuel 220,CliCmn,F,Alto Jahuel 110
47,Ochagavia 110,T,*,*,1,110,110,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Ochagavia 110,F,Alto Jahuel 220,CliCmn,F,Alto Jahuel 110
48,Lo Espejo 110,T,*,*,1,110,110,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Lo Espejo 110,F,Chena 220,CliCmn,F,Chena 220
49,Los Almendros 220,T,*,*,1,220,220,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Los Almendros 220,F,Alto Jahuel 220,CliCmn,T,Los Almendros 220
50,Chena 220,T,*,*,1,220,220,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Chena 220,T,Chena 220,CliCmn,T,Chena 220
51,El Rodeo 220,T,*,*,1,220,220,SIC TxT Comun,TxT,50,6,CNE,CNE,F,El Rodeo 220,T,El Rodeo 220,CliCmn,T,El Rodeo 220
52,Alfalfal 220,T,*,*,1,220,220,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Alfalfal 220,F,Alto Jahuel 220,CliCmn,F,Alto Jahuel 220
53,Maipo 220,T,*,*,1,220,220,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Maipo 220,T,Maipo 220,CliCmn,T,Maipo 220
54,Candelaria 220,T,*,*,1,220,220,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Candelaria 220,T,Candelaria 220,CliCmn,T,Candelaria 220
55,Colbun 220,T,*,*,1,220,220,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Colbun 220,T,Colbun 220,CliCmn,F,Ancoa 220
56,Renca 110,T,*,*,1,110,110,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Renca 110,F,Cerro Navia 220,CliCmn,F,Cerro Navia 110
57,Los Almendros 110,T,*,*,1,110,110,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Los Almendros 110,F,Alto Jahuel 220,CliCmn,T,Los Almendros 110
58,Alto Jahuel 220,T,*,*,1,220,220,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Alto Jahuel 220,T,Alto Jahuel 220,CliCmn,T,Alto Jahuel 220
59,Alto Jahuel 500,T,*,*,1,500,500,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Alto Jahuel 500,T,Alto Jahuel 500,CliCmn,T,Alto Jahuel 500
60,Alto Jahuel 110,T,*,*,1,110,110,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Alto Jahuel 110,F,Alto Jahuel 220,CliCmn,T,Alto Jahuel 110
61,Melipilla 220,T,*,*,1,220,220,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Melipilla 220,T,Melipilla 220,CliCmn,F,Cerro Navia 220
62,Rapel 220,T,*,*,1,220,220,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Rapel 220,T,Rapel 220,CliCmn,F,Cerro Navia 220
63,Sauzal 110,T,*,*,1,110,110,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Sauzal 110,F,Itahue 220,CliCmn,F,Itahue 154
64,Sauzal 154,T,*,*,1,154,154,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Sauzal 154,F,Itahue 220,CliCmn,F,Itahue 154
65,Alto Jahuel 154,T,*,*,1,154,154,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Alto Jahuel 154,F,Alto Jahuel 220,CliCmn,T,Alto Jahuel 154
66,Paine 220,F,MesDic-2010,*,1,220,220,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Paine 220,F,Alto Jahuel 220,CliCmn,F,Alto Jahuel 220
67,Paine 154,T,*,*,1,154,154,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Paine 154,F,Alto Jahuel 220,CliCmn,F,Alto Jahuel 220
68,Rancagua 220,F,MesDic-2010,*,1,220,220,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Rancagua 220,F,Alto Jahuel 220,CliCmn,T,Rancagua 220
69,Rancagua 154,T,*,*,1,154,154,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Rancagua 154,F,Alto Jahuel 220,CliCmn,T,Rancagua 154
70,Punta Cortes 220,F,MesDic-2010,*,1,220,220,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Punta Cortes 220,F,Alto Jahuel 220,CliCmn,F,Rancagua 154
71,Punta Cortes 154,T,*,*,1,154,154,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Punta Cortes 154,F,Alto Jahuel 220,CliCmn,F,San Fernando 154
72,Tinguiririca 154,T,MesDic-2008,*,1,154,154,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Tinguiririca 154,F,Itahue 220,CliCmn,F,San Fernando 154
73,Tinguiririca 220,T,MesOct-2018,*,1,220,220,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Tinguiririca 220,F,Alto Jahuel 220,CliCmn,F,Rancagua 154
74,Tilcoco 154,T,*,*,1,154,154,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Tilcoco 154,F,Alto Jahuel 220,CliCmn,F,Itahue 154
75,San Fernando 220,F,*,*,1,220,220,SIC TxT Sur,TxT,50,6,CNE,CNE,F,San Fernando 220,F,Itahue 220,CliCmn,T,San Fernando 220
76,San Fernando 154,T,*,*,1,154,154,SIC TxT Comun,TxT,50,6,CNE,CNE,F,San Fernando 154,F,Itahue 220,CliCmn,T,San Fernando 154
77,Teno 220,F,MesDic-2010,*,1,220,220,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Teno 220,F,Itahue 220,CliCmn,F,Itahue 154
78,Teno 154,T,*,*,1,154,154,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Teno 154,F,Itahue 220,CliCmn,F,Itahue 154
79,Itahue 154,T,*,*,1,154,154,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Itahue 154,F,Itahue 220,CliCmn,T,Itahue 154
80,M. Melado 154,T,*,*,1,154,154,SIC TxT Comun,TxT,50,6,CNE,CNE,F,M. Melado 154,F,Itahue 220,CliCmn,F,Itahue 154
81,Curillinque 154,T,*,*,1,154,154,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Curillinque 154,F,Itahue 220,CliCmn,F,Itahue 154
82,Cipreses 154,T,*,*,1,154,154,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Cipreses 154,F,Itahue 220,CliCmn,F,Itahue 154
83,Maule 154,T,*,*,1,154,154,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Maule 154,F,Itahue 220,CliCmn,F,Itahue 154
84,Linares 154,T,*,*,1,154,154,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Linares 154,F,Itahue 220,CliCmn,F,Itahue 154
85,Itahue 220,T,*,*,1,220,220,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Itahue 220,T,Itahue 220,CliCmn,T,Itahue 220
86,Ancoa 500,T,*,*,1,500,500,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Ancoa 500,T,Ancoa 500,CliCmn,T,Ancoa 500
87,Ancoa 500 Aux Sur,T,MesDic-2017,*,1,500,500,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Ancoa 500 Aux Sur,F,Ancoa 220,CliCmn,T,Ancoa 500 Aux Sur
88,Ancoa 500 Aux,T,*,*,1,500,500,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Ancoa 500 Aux,F,Ancoa 220,CliCmn,T,Ancoa 500 Aux
89,Ancoa 220,T,*,*,1,220,220,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Ancoa 220,T,Ancoa 220,CliCmn,T,Ancoa 220
90,Calabozo 220,T,MesAbr-2011,*,1,220,220,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Calabozo 220,F,Ancoa 220,CliCmn,F,Ancoa 220
91,Pehuenche 220,T,*,*,1,220,220,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Pehuenche 220,F,Ancoa 220,CliCmn,F,Ancoa 220
92,Loma Alta 220,T,*,*,1,220,220,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Loma Alta 220,F,Ancoa 220,CliCmn,F,Ancoa 220
93,Parral 154,T,*,*,1,154,154,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Parral 154,F,Charrua 220,CliCmn,F,Charrua 220
94,A. Chillan 154,T,*,*,1,154,154,SIC TxT Comun,TxT,50,6,CNE,CNE,F,A. Chillan 154,F,Charrua 220,CliCmn,F,Charrua 220
95,Chillan 154,T,*,*,1,154,154,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Chillan 154,F,Charrua 220,CliCmn,F,Charrua 220
96,Charrua 154,T,*,*,1,154,154,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Charrua 154,F,Charrua 220,CliCmn,F,Charrua 220
97,Charrua 220,T,*,*,1,220,220,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Charrua 220,T,Charrua 220,CliCmn,T,Charrua 220
98,Charrua 500,T,MesJun-2004,*,1,500,500,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Charrua 500,T,Charrua 500,CliCmn,T,Charrua 500
99,Nueva Charrua 500,T,MesDic-2017,*,1,500,500,SIC TxT Comun,TxT,50,6,CNE,CNE,T,Nueva Charrua 500,F,Charrua 500,CliCmn,T,Nueva Charrua 500
100,Nueva Charrua 220,T,MesDic-2017,*,1,220,220,SIC TxT Comun,TxT,50,6,CNE,CNE,T,Nueva Charrua 220,F,Charrua 220,CliCmn,T,Nueva Charrua 220
101,Antuco 220,T,*,*,1,220,220,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Antuco 220,F,Charrua 220,CliCmn,F,Charrua 220
102,Toro 220,T,*,*,1,220,220,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Toro 220,F,Charrua 220,CliCmn,F,Charrua 220
103,Trupan 220,T,*,*,1,220,220,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Trupan 220,F,Charrua 220,CliCmn,F,Charrua 220
104,Rucue 220,T,*,*,1,220,220,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Rucue 220,F,Charrua 220,CliCmn,F,Charrua 220
105,Mampil 220,T,*,*,1,220,220,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Mampil 220,F,Charrua 220,CliCmn,F,Charrua 220
106,Pangue 220,T,*,*,1,220,220,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Pangue 220,F,Charrua 220,CliCmn,F,Charrua 220
107,Abanico 154,T,*,*,1,154,154,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Abanico 154,F,Charrua 220,CliCmn,F,Charrua 220
108,Concepcion 220,T,*,*,1,220,220,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Concepcion 220,F,Charrua 220,CliCmn,T,Concepcion 220
109,Concepcion 154,T,*,*,1,154,154,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Concepcion 154,F,Charrua 220,CliCmn,F,Concepcion 220
110,San Vicente 154,T,*,*,1,154,154,SIC TxT Comun,TxT,50,6,CNE,CNE,F,San Vicente 154,F,Hualpen 220,CliCmn,T,San Vicente 154
111,Hualpen 220,T,*,*,1,220,220,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Hualpen 220,T,Hualpen 220,CliCmn,F,Concepcion 220
112,Hualpen 154,T,*,*,1,154,154,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Hualpen 154,F,Hualpen 220,CliCmn,F,San Vicente 154
113,Lagunillas 220,T,MesAbr-2008,*,1,220,220,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Lagunillas 220,T,Lagunillas 220,CliCmn,F,Concepcion 220
114,Coronel 154,T,*,*,1,154,154,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Coronel 154,F,Hualpen 220,CliCmn,F,San Vicente 154
115,Mapal 154,T,*,*,1,154,154,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Mapal 154,F,Lagunillas 220,CliCmn,F,San Vicente 154
116,Fopaco 154,T,*,*,1,154,154,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Fopaco 154,F,Lagunillas 220,CliCmn,F,San Vicente 154
117,Coronel 066,T,*,*,1,66,66,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Coronel 066,F,Hualpen 220,CliCmn,F,Charrua 220
118,Color 066,T,*,*,1,66,66,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Color 066,F,Hualpen 220,CliCmn,F,Charrua 220
119,Arauco 066,T,*,*,1,66,66,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Arauco 066,F,Hualpen 220,CliCmn,F,Charrua 220
120,Concepcion 066,T,*,*,1,66,66,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Concepcion 066,F,Charrua 220,CliCmn,F,Concepcion 220
121,Petroquim 154,T,*,*,1,154,154,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Petroquim 154,F,Hualpen 220,CliCmn,F,San Vicente 154
122,Temuco 220,T,*,*,1,220,220,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Temuco 220,T,Temuco 220,CliCmn,T,Temuco 220
123,Ciruelos 220,T,*,*,1,220,220,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Ciruelos 220,T,Ciruelos 220,CliCmn,F,Valdivia 220
124,Valdivia 220,T,*,*,1,220,220,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Valdivia 220,T,Valdivia 220,CliCmn,T,Valdivia 220
125,Rahue 220,T,*,*,1,220,220,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Rahue 220,T,Rahue 220,CliCmn,T,Rahue 220
126,Puerto Montt 220,T,*,*,1,220,220,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Puerto Montt 220,T,Puerto Montt 220,CliCmn,T,Puerto Montt 220
127,Puerto Montt 220 Aux,T,*,*,1,220,220,SIC TxT Sur,TxT,50,6,CNE,CNE,T,Puerto Montt 220 Aux,F,Puerto Montt 220,CliCmn,T,Puerto Montt 220 Aux
128,Canutillar 220,T,*,*,1,220,220,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Canutillar 220,F,Puerto Montt 220,CliCmn,F,Puerto Montt 220
129,Esperanza 220,F,*,*,1,220,220,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Esperanza 220,T,Esperanza 220,CliCmn,T,Esperanza 220
130,Temuco 066,T,*,*,1,66,66,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Temuco 066,F,Temuco 220,CliCmn,F,Temuco 220
131,Pullinque 066,T,*,*,1,66,66,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Pullinque 066,F,Temuco 220,CliCmn,F,Temuco 220
132,Los Lagos 066,T,*,*,1,66,66,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Los Lagos 066,F,Valdivia 220,CliCmn,F,Temuco 220
133,Valdivia 066,T,*,*,1,66,66,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Valdivia 066,F,Valdivia 220,CliCmn,F,Valdivia 220
134,Osorno 066,T,*,*,1,66,66,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Osorno 066,F,Rahue 220,CliCmn,F,Rahue 220
135,Rahue 066,T,*,*,1,66,66,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Rahue 066,F,Rahue 220,CliCmn,F,Rahue 220
136,Puerto Montt 066,T,*,*,1,66,66,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Puerto Montt 066,F,Puerto Montt 220,CliCmn,F,Puerto Montt 220
137,Cautin 220,T,MesSep-2006,*,1,220,220,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Cautin 220,T,Cautin 220,CliCmn,T,Cautin 220
138,Sadi 220,F,MesEne-2012,*,1,220,220,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Sadi 220,T,Sadi 220,CliCmn,T,Sadi 220
139,Sadi Sur 220,F,MesAbr-2010,*,1,220,220,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Sadi Sur 220,T,Sadi Sur 220,CliCmn,T,Sadi Sur 220
140,El Salto 220,T,*,*,1,220,220,SIC TxT Sur,TxT,50,6,CNE,CNE,F,El Salto 220,F,Polpaico 220,CliCmn,T,El Salto 220
141,El Salto 110,T,*,*,1,110,110,SIC TxT Sur,TxT,50,6,CNE,CNE,F,El Salto 110,F,Polpaico 220,CliCmn,T,El Salto 110
142,Achupallas 110,T,*,*,1,110,110,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Achupallas 110,F,Quillota 220,CliCmn,F,Quillota 220
143,Aconcagua 110,T,*,*,1,110,110,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Aconcagua 110,F,Los Maquis 220,CliCmn,F,Polpaico 220
144,Algarrobo 110,T,*,*,1,110,110,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Algarrobo 110,F,Maitencillo 220,CliCmn,F,Maitencillo 220
145,Alonso de Cordova 110,T,*,*,1,110,110,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Alonso de Cordova 110,F,Cerro Navia 220,CliCmn,F,Cerro Navia 110
146,Altamirano 110,T,*,*,1,110,110,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Altamirano 110,F,Cerro Navia 220,CliCmn,F,Cerro Navia 110
147,Apoquindo 110,T,*,*,1,110,110,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Apoquindo 110,F,Cerro Navia 220,CliCmn,F,Cerro Navia 110
148,Carrascal 110,T,*,*,1,110,110,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Carrascal 110,F,Cerro Navia 220,CliCmn,F,Cerro Navia 110
149,Casas Viejas 110,T,*,*,1,110,110,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Casas Viejas 110,F,Nogales 220,CliCmn,F,Quillota 110
150,Castilla 110,T,*,*,1,110,110,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Castilla 110,F,Cardones 220,CliCmn,F,Cardones 220
151,Choapa 110,T,*,*,1,110,110,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Choapa 110,F,Los Vilos 220,CliCmn,F,Los Vilos 220
152,Choapa 220,T,*,*,1,220,220,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Choapa 220,F,Los Vilos 220,CliCmn,F,Los Vilos 220
153,Chumpullo 066,T,*,*,1,66,66,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Chumpullo 066,F,Valdivia 220,CliCmn,F,Valdivia 220
154,La Cisterna 110,T,*,*,1,110,110,SIC TxT Sur,TxT,50,6,CNE,CNE,F,La Cisterna 110,F,Alto Jahuel 220,CliCmn,F,Alto Jahuel 110
155,Club Hipico 110,T,*,*,1,110,110,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Club Hipico 110,F,Alto Jahuel 220,CliCmn,F,Alto Jahuel 110
156,Dos Amigos 110,T,*,*,1,110,110,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Dos Amigos 110,F,Maitencillo 220,CliCmn,F,Maitencillo 220
157,Esperanza 110,T,*,*,1,110,110,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Esperanza 110,F,Temuco 220,CliCmn,F,Temuco 220
158,Frutillar 066,T,*,*,1,66,66,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Frutillar 066,F,Rahue 220,CliCmn,F,Rahue 220
159,Illapel 110,T,*,*,1,110,110,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Illapel 110,F,Los Vilos 220,CliCmn,F,Los Vilos 220
160,Incahuasi 110,T,*,*,1,110,110,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Incahuasi 110,F,Pan de Azucar 220,CliCmn,F,Pan de Azucar 220
161,La Dehesa 110,T,*,*,1,110,110,SIC TxT Sur,TxT,50,6,CNE,CNE,F,La Dehesa 110,F,Alto Jahuel 220,CliCmn,F,Alto Jahuel 110
162,La Reina 110,T,*,*,1,110,110,SIC TxT Sur,TxT,50,6,CNE,CNE,F,La Reina 110,F,Alto Jahuel 220,CliCmn,F,Alto Jahuel 110
163,La Union 066,T,*,*,1,66,66,SIC TxT Sur,TxT,50,6,CNE,CNE,F,La Union 066,F,Valdivia 220,CliCmn,F,Valdivia 220
164,Araña 066,T,*,*,1,66,66,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Araña 066,F,Rapel 220,CliCmn,F,Cerro Navia 220
165,Las Compañias 110,T,*,*,1,110,110,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Las Compañias 110,F,Pan de Azucar 220,CliCmn,F,Pan de Azucar 220
166,Lo Boza 110,T,*,*,1,110,110,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Lo Boza 110,F,Cerro Navia 220,CliCmn,F,Cerro Navia 110
167,Lo Valledor 110,T,*,*,1,110,110,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Lo Valledor 110,F,Cerro Navia 220,CliCmn,F,Cerro Navia 110
168,Loncoche 066,T,*,*,1,66,66,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Loncoche 066,F,Temuco 220,CliCmn,F,Temuco 220
169,Los Dominicos 110,T,*,*,1,110,110,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Los Dominicos 110,F,Alto Jahuel 220,CliCmn,F,Alto Jahuel 110
170,Los Maquis 110,T,*,*,1,110,110,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Los Maquis 110,F,Los Maquis 220,CliCmn,F,Polpaico 220
171,Los Maquis 220,T,*,*,1,220,220,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Los Maquis 220,T,Los Maquis 220,CliCmn,F,Polpaico 220
172,Los Maquis 220 Aux,T,*,*,1,220,220,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Los Maquis 220 Aux,F,Los Maquis 220,CliCmn,T,Polpaico 220
173,Macul 110,T,*,*,1,110,110,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Macul 110,F,Alto Jahuel 220,CliCmn,F,Alto Jahuel 110
174,Maipu 110,T,*,*,1,110,110,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Maipu 110,F,Chena 220,CliCmn,F,Chena 220
175,Mandinga 066,T,*,*,1,66,66,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Mandinga 066,F,Rapel 220,CliCmn,F,Cerro Navia 220
176,Melipilla 066,T,*,*,1,66,66,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Melipilla 066,F,Melipilla 220,CliCmn,F,Cerro Navia 220
177,Melipilla 110,T,*,*,1,110,110,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Melipilla 110,F,Melipilla 220,CliCmn,F,Cerro Navia 110
178,Metrenco 066,T,*,*,1,66,66,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Metrenco 066,F,Temuco 220,CliCmn,F,Temuco 220
179,Ovalle 110,T,*,*,1,110,110,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Ovalle 110,F,Pan de Azucar 220,CliCmn,F,Pan de Azucar 220
180,Padre Las Casas 066,T,*,*,1,66,66,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Padre Las Casas 066,F,Temuco 220,CliCmn,F,Temuco 220
