BarINum,BarNom,BarFOpe,BarFecOpeIni,BarFecOpeFin,BarFacPen,BarVtjOpe,BarVtjBas,BarSis,BarTip,BarSTxPNdEne,BarSTxPNdPot,BarEmp,BarAux,CenFalFBarAlt,CenFalBarAlt,BarFPri,BarPriAso,BarCliTip,BarFOpt,BarOptAso
214,Lo Aguirre 220,T,MesMar-2014,*,1,220,220,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Lo Aguirre 220,F,Cerro Navia 220,CliCmn,T,Lo Aguirre 220
215,Alto Jahuel 500 Aux,T,MesJun-2008,*,1,500,500,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Alto Jahuel 500 Aux,F,Alto Jahuel 220,CliCmn,T,Alto Jahuel 500 Aux
216,Polpaico 500 Aux,T,MesJun-2008,*,1,500,500,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Polpaico 500 Aux,F,Polpaico 220,CliCmn,T,Polpaico 500 Aux
217,Rahue Def 220 I,F,MesAbr-2019,*,1,220,220,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Rahue Def 220 I,F,Rahue 220,CliCmn,T,Rahue 220
218,Rahue Def 220 II,F,MesAbr-2019,*,1,220,220,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Rahue Def 220 II,F,Rahue 220,CliCmn,T,Rahue 220
219,Pichirropulli 500,F,*,*,1,500,500,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Pichirropulli 500,T,Pichirropulli 500,CliCmn,T,Pichirropulli 500
220,Puerto Montt 500,T,MesEne-2028,*,1,500,500,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Puerto Montt 500,T,Puerto Montt 500,CliCmn,T,Puerto Montt 500
221,Los Almendros 500,F,MesAbr-2021,*,1,500,500,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Los Almendros 500,F,Polpaico 500,CliCmn,T,Los Almendros 500
222,Chacaya SING 500,F,MesJul-2017,*,1,500,500,SIC TxT Norte,TxA,50,6,CNE,CNE,F,Chacaya SING 500,F,Cardones 220,CliCmn,F,Cardones 220
223,Carrera Pinto 220 Aux,T,*,*,1,220,220,SIC TxT Norte,TxT,50,6,CNE,CNE,T,Carrera Pinto 220 Aux,F,Carrera Pinto 220,CliCmn,T,Carrera Pinto 220 Aux
224,Los Changos 500,T,MesAgo-2017,*,1,500,500,SIC TxT Norte,TxA,50,6,CNE,CNE,F,Los Changos 500,T,Los Changos 500,CliCmn,T,Los Changos 500
225,Cumbre 500,T,MesAgo-2017,*,1,500,500,SIC TxT Norte,TxT,50,6,CNE,CNE,F,Cumbre 500,T,Cumbre 500,CliCmn,T,Cumbre 500
226,Cumbre 220 Aux,T,MesNov-2019,*,1,220,220,SIC TxT Norte,TxT,50,6,CNE,CNE,F,Cardones 500,F,Cardones 500,CliCmn,T,Cumbre 500
227,Los Changos 220,T,MesAgo-2017,*,1,220,220,SIC TxT Norte,TxA,50,6,CNE,CNE,F,Los Changos 220,T,Los Changos 220,CliCmn,T,Los Changos 220
228,Cumbre 220,T,MesNov-2019,*,1,220,220,SIC TxT Norte,TxT,50,6,CNE,CNE,F,Cumbre 220 Aux,T,Cumbre 220,CliCmn,T,Cumbre 500
229,Puente Negro 220,T,MesOct-2017,*,1,220,220,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Puente Negro 220,F,Alto Jahuel 220,CliCmn,T,Puente Negro 220
230,Malloa 154,T,*,*,1,220,220,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Malloa 154,F,Alto Jahuel 220,CliCmn,F,Alto Jahuel 220
231,Tuniche I 154,T,*,*,1,220,220,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Tuniche I 154,F,Alto Jahuel 220,CliCmn,F,Alto Jahuel 220
232,Villaseca 154,T,*,*,1,220,220,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Villaseca 154,F,Alto Jahuel 220,CliCmn,F,Alto Jahuel 220
233,Tuniche II 154,T,*,*,1,220,220,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Tuniche II 154,F,Alto Jahuel 220,CliCmn,F,Alto Jahuel 220
234,La Ermita 220,T,*,*,1,220,220,SIC TxT Comun,TxT,50,6,CNE,CNE,F,La Ermita 220,F,Alto Jahuel 220,CliCmn,T,La Ermita 220
235,Las Tortolas 220,T,*,*,1,220,220,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Las Tortolas 220,F,Polpaico 220,CliCmn,T,Las Tortolas 220
236,Santa Filomena 220,T,*,*,1,220,220,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Santa Filomena 220,F,Polpaico 220,CliCmn,T,Santa Filomena 220
237,Confluencia 220,T,*,*,1,220,220,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Confluencia 220,F,Polpaico 220,CliCmn,T,Confluencia 220
238,Los Maitenes 220,T,*,*,1,220,220,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Confluencia 220,F,Polpaico 220,CliCmn,T,Confluencia 220
239,Chiloe 220,T,*,*,1,220,220,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Chiloe 220,T,Chiloe 220,CliCmn,T,Puerto Montt 220
240,Don Goyo 220,T,*,*,1,220,220,SIC TxT Norte,TxT,50,6,CNE,CNE,F,Don Goyo 220,T,Don Goyo 220,CliCmn,T,Pan de Azucar 220
241,Don Goyo 220 Aux,T,*,*,1,220,220,SIC TxT Norte,TxT,50,6,CNE,CNE,F,Don Goyo 220 Aux,F,Don Goyo 220,CliCmn,T,Pan de Azucar 220
242,El Llano 220,T,*,*,1,220,220,SIC TxT Comun,TxT,50,6,CNE,CNE,F,El Llano 220,T,El Llano 220,CliCmn,T,Polpaico 220
243,La Cebada 220,T,*,*,1,220,220,SIC TxT Norte,TxT,50,6,CNE,CNE,F,La Cebada 220,T,La Cebada 220,CliCmn,T,Las Palmas 220
244,La Cebada 220 Aux,T,*,*,1,220,220,SIC TxT Norte,TxT,50,6,CNE,CNE,F,La Cebada 220 Aux,F,La Cebada 220,CliCmn,T,Las Palmas 220
245,Maitencillo 220 Aux,T,MesEne-2018,*,1,220,220,SIC TxT Norte,TxT,50,6,CNE,CNE,F,Maitencillo 220 Aux,F,Maitencillo 220,CliCmn,T,Maitencillo 220
246,Melipulli 220,T,*,*,1,220,220,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Melipulli 220,T,Melipulli 220,CliCmn,T,Puerto Montt 220
247,Nueva Valdivia 220,T,MesNov-2018,*,1,220,220,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Nueva Valdivia 220,T,Nueva Valdivia 220,CliCmn,T,Valdivia 220
248,Nueva Valdivia 220 Aux,T,MesNov-2018,*,1,220,220,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Nueva Valdivia 220 Aux,F,Nueva Valdivia 220,CliCmn,T,Valdivia 220
249,Pan de Azucar 220 Aux,T,*,*,1,220,220,SIC TxT Norte,TxT,50,6,CNE,CNE,F,Pan de Azucar 220 Aux,F,Pan de Azucar 220,CliCmn,T,Pan de Azucar 220
250,Punta Colorada 220 Aux,T,MesEne-2018,*,1,220,220,SIC TxT Norte,TxT,50,6,CNE,CNE,F,Punta Colorada 220 Aux,F,Punta Colorada 220,CliCmn,T,Punta Colorada 220
251,San Andres 220,T,*,*,1,220,220,SIC TxT Norte,TxT,50,6,CNE,CNE,F,San Andres 220,T,San Andres 220,CliCmn,T,Cardones 220
252,San Andres 220 Aux,T,*,*,1,220,220,SIC TxT Norte,TxT,50,6,CNE,CNE,F,San Andres 220 Aux,F,San Andres 220,CliCmn,T,Cardones 220
253,Duqueco 220,T,*,*,1,220,220,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Duqueco 220,T,Duqueco 220,CliCmn,T,Charrua 220
254,Monte Redondo 220,T,*,*,1,220,220,SIC TxT Norte,TxT,50,6,CNE,CNE,F,Monte Redondo 220,T,Monte Redondo 220,CliCmn,T,Pan de Azucar 220
255,Mulchen 220,T,*,*,1,220,220,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Mulchen 220,T,Mulchen 220,CliCmn,T,Charrua 220
256,Talinay 220,T,*,*,1,220,220,SIC TxT Norte,TxT,50,6,CNE,CNE,F,Talinay 220,T,Talinay 220,CliCmn,T,Pan de Azucar 220
257,El Rosal 220,T,*,*,1,220,220,SIC TxT Sur,TxT,50,6,CNE,CNE,F,El Rosal 220,T,El Rosal 220,CliCmn,T,Charrua 220
258,Nueva Cardones Sur 500 Aux,F,*,*,1,500,500,SIC TxT Norte,TxT,50,6,CNE,CNE,F,Nueva Cardones Sur 500 Aux,F,Cardones 220,CliCmn,T,Nueva Cardones Sur 500 Aux
259,Nueva Cardones 500,F,*,*,1,500,500,SIC TxT Norte,TxT,50,6,CNE,CNE,F,Nueva Cardones 500,F,Cardones 500,CliCmn,T,Nueva Cardones 500
260,Nueva Cardones 220,F,*,*,1,220,220,SIC TxT Norte,TxT,50,6,CNE,CNE,F,Nueva Cardones 220,F,Cardones 220,CliCmn,T,Nueva Cardones 220
261,Nueva Maitencillo 500,F,*,*,1,500,500,SIC TxT Norte,TxT,50,6,CNE,CNE,F,Nueva Maitencillo 500,F,Maitencillo 500,CliCmn,T,Nueva Maitencillo 500
262,Nueva Maitencillo Sur 500 Aux,F,*,*,1,500,500,SIC TxT Norte,TxT,50,6,CNE,CNE,F,Nueva Maitencillo Sur 500 Aux,F,Maitencillo 500,CliCmn,T,Nueva Maitencillo Sur 500 Aux
263,Nueva Maitencillo 220,F,*,*,1,220,220,SIC TxT Norte,TxT,50,6,CNE,CNE,F,Nueva Maitencillo 220,F,Maitencillo 220,CliCmn,T,Nueva Maitencillo 220
264,Nueva Pan de Azucar 500,F,*,*,1,500,500,SIC TxT Norte,TxT,50,6,CNE,CNE,F,Nueva Pan de Azucar 500,F,Pan de Azucar 500,CliCmn,T,Nueva Pan de Azucar 500
265,Nueva Pan de Azucar 220,F,*,*,1,220,220,SIC TxT Norte,TxT,50,6,CNE,CNE,F,Nueva Pan de Azucar 220,F,Valdivia 220,CliCmn,T,Nueva Pan de Azucar 220
266,Nueva Pan de Azucar Sur 500 Aux,F,*,*,1,500,500,SIC TxT Norte,TxT,50,6,CNE,CNE,F,Nueva Pan de Azucar Sur 500 Aux,F,Pan de Azucar 500,CliCmn,T,Nueva Pan de Azucar Sur 500 Aux
267,Pichirrahue 220,T,*,*,1,220,220,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Pichirrahue 220,T,Pichirrahue 220,CliCmn,T,Pichirrahue 220
268,Rahue Aux,F,*,*,1,220,220,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Rahue Aux,F,Rahue 220,CliCmn,T,Rahue Aux
269,Lagunillas 154,T,*,*,1,154,154,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Lagunillas 154,F,Hualpen 220,CliCmn,F,San Vicente 154
270,Ciruelos 500,T,MesEne-2028,*,1,500,500,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Ciruelos 500,T,Ciruelos 500,CliCmn,T,Ciruelos 500
271,Algarrobal 220,T,MesNov-2019,*,1,220,220,SIC TxT Norte,TxT,50,6,CNE,CNE,F,Cardones 220,T,Algarrobal 220,CliCmn,T,Cardones 220
272,Algarrobal 220 Aux,T,MesNov-2019,*,1,220,220,SIC TxT Norte,TxT,50,6,CNE,CNE,F,Cardones 220,F,Algarrobal 220,CliCmn,T,Cardones 220
273,Rio Malleco 220,T,MesJul-2019,*,1,220,220,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Cautin 220,T,Rio Malleco 220,CliCmn,T,Cautin 220
274,Rio Tolten 220,T,MesNov-2019,*,1,220,220,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Cautin 220,T,Rio Tolten 220,CliCmn,T,Cautin 220
275,Rio Tolten 220 Aux,T,MesNov-2019,*,1,220,220,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Cautin 220,F,Rio Tolten 220,CliCmn,T,Cautin 220
276,Frutillar Norte 220,T,MesMay-2020,*,1,220,220,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Rahue 220,T,Frutillar Norte 220,CliCmn,T,Rahue 220
277,Frutillar Norte 220 Aux,T,MesMay-2020,*,1,220,220,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Rahue 220,F,Frutillar Norte 220,CliCmn,T,Rahue 220
278,Cerros de Huichahue 220 Aux,T,MesMay-2020,*,1,220,220,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Ciruelos 220,F,Cerros de Huichahue 220,CliCmn,F,Valdivia 220
279,Cerros de Huichahue 220,T,MesMay-2020,*,1,220,220,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Ciruelos 220,T,Cerros de Huichahue 220,CliCmn,F,Valdivia 220
280,Punta Sierra 220 Aux,T,MesEne-2018,*,1,220,220,SIC TxT Norte,TxT,50,6,CNE,CNE,F,Las Palmas 220,F,Punta Sierra 220,CliCmn,T,Las Palmas 220
281,Punta Sierra 220,T,MesEne-2018,*,1,220,220,SIC TxT Norte,TxT,50,6,CNE,CNE,F,Las Palmas 220,T,Punta Sierra 220,CliCmn,T,Las Palmas 220
282,Tap Mauro 220,T,*,*,1,220,220,SIC TxT Comun,TxT,50,6,CNE,CNE,F,Quillota 220,F,Quillota 220,CliCmn,T,Quillota 220
283,Pta Barranco 220 Aux,T,*,*,1,220,220,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Puerto Montt 220,F,Pta Barranco 220,CliCmn,T,Puerto Montt 220
284,Pta San Gallan 220,T,*,*,1,220,220,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Puerto Montt 220,T,Pta San Gallan 220,CliCmn,T,Puerto Montt 220
285,Pta Barranco 220,T,*,*,1,220,220,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Puerto Montt 220,T,Pta Barranco 220,CliCmn,T,Puerto Montt 220
286,Pta Barranco 220 Aux II,T,MesJun-2023,*,1,220,220,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Puerto Montt 220,F,Pta Barranco 220 II,CliCmn,T,Puerto Montt 220
287,Pta Barranco 220 II,T,MesJun-2023,*,1,220,220,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Puerto Montt 220,T,Pta Barranco 220 II,CliCmn,T,Puerto Montt 220
288,Pta San Gallan 220 II,T,MesJun-2023,*,1,220,220,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Puerto Montt 220,T,Pta San Gallan 220 II,CliCmn,T,Puerto Montt 220
289,Ancud 220,T,MesDic-2020,*,1,220,220,SIC TxT Sur,TxT,50,6,CNE,CNE,F,Puerto Montt 220,T,Ancud 220,CliCmn,T,Puerto Montt 220
