LinINum,LinNom,LinFOpe,LinFecOpeIni,LinFecOpeFin,LinBarA,LinBarB,LinBarSis,LinFPrtFlu,LinFPrtHis,LinNIntHis,LinFPrtInd,LinFCC,LinPotMaxA->B,LinPotMaxB->A,LinFMax,LinFPri,LinFN-1,LinPotN-1A->B,LinPotN-1B->A,LinVolt,LinR,LinX,LinFPer,LinNTra,LinDisEne,LinFPeaCal,LinPeaSis,LinPeaTip,LinFTipDef,LinFInv,LinFecInv,LinVI,LinCOMA,LinVidUti,LinEmp,LinAux,LinAux,LinAux
100,Palestina 220->Domeyko 220,T,*,*,Palestina 220,Domeyko 220,*,F,F,101,F,F,183,183,T,F,F,183,183,220,6.6,30.81,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,220
101,Mejillones 220->O'higgins 220,T,*,*,Mejillones 220,O'higgins 220,BarA,F,F,101,F,F,183,183,T,F,F,183,183,220,5.2414,20.9656,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,220
102,Atacama 220->Esmeralda 220,T,*,*,Atacama 220,Esmeralda 220,BarB,F,F,101,F,F,127,127,T,F,F,127,127,220,6.265,28.21,T,5,1,F,STx,Cmn,F,F,*,0,0,30,CNE,SING,STx-DS163,220
103,Esmeralda 220->Esmeralda 110,T,*,*,Esmeralda 220,Esmeralda 110,*,F,F,101,F,F,195,195,T,F,F,195,195,220,0,34.364,T,5,1,F,STx,Cmn,F,F,*,0,0,30,CNE,SING,STx-DS163,220/110
104,Esmeralda 110->Centro 110,T,*,*,Esmeralda 110,Centro 110,*,F,F,101,F,F,98,98,T,F,F,98,98,110,0.0827,0.2092,T,5,1,F,STx,Cmn,F,F,*,0,0,30,CNE,SING,STx-DS163,110
105,Esmeralda 110->La Portada 110,T,*,*,Esmeralda 110,La Portada 110,*,F,F,101,F,F,98,98,T,F,F,98,98,110,2.4385,6.168,T,5,1,F,STx,Cmn,F,F,*,0,0,30,CNE,SING,STx-DS163(alcance_nombre),110
106,Esmeralda 110->Sur 110,T,*,*,Esmeralda 110,Sur 110,*,F,F,101,F,F,98,98,T,F,F,98,98,110,0.9483,2.3987,T,5,1,F,STx,Cmn,F,F,*,0,0,30,CNE,SING,STx-DS163,110
107,Esmeralda 110->Uribe 110,T,*,*,Esmeralda 110,Uribe 110,*,F,F,101,F,F,98,98,T,F,F,98,98,110,2.3101,5.8433,T,5,1,F,STx,Cmn,F,F,*,0,0,30,CNE,SING,STx-DS163(ojo),110
108,Mejillones 220->Mejillones 110,T,*,*,Mejillones 220,Mejillones 110,BarA,F,F,101,F,F,100,100,T,F,F,100,100,220,0,64.0695,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,220/110
109,Mejillones 110->Enaex 110,T,*,*,Mejillones 110,Enaex 110,BarB,F,F,101,F,F,93,93,F,F,F,93,93,110,0.3622,0.5541,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,110
110,Mejillones 110->Lince 110,T,*,*,Mejillones 110,Lince 110,BarB,F,F,101,F,F,48,48,F,F,F,48,48,110,11.34,28.26,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,110
111,Pampa 110->Mejillones 110,T,*,*,Pampa 110,Mejillones 110,*,F,F,101,F,F,57,57,T,F,F,57,57,110,4.8765,11.6655,T,5,1,F,STx,Cmn,F,F,*,0,0,30,CNE,SING,STx-DS163,110
112,Desalant 110->Pampa 110,T,*,*,Desalant 110,Pampa 110,*,F,F,101,F,F,57,57,T,F,F,57,57,110,3.1939,7.6404,T,5,1,F,STx,Cmn,F,F,*,0,0,30,CNE,SING,STx-DS163(alcance_nombre),110
113,Antofagasta 110->Desalant 110,T,*,*,Antofagasta 110,Desalant 110,*,F,F,101,F,F,57,57,T,F,F,57,57,110,1.7917,4.2861,T,5,1,F,STx,Cmn,F,F,*,0,0,30,CNE,SING,STx-DS163(alcance_nombre),110
114,Antofagasta 110->Capricornio 110,T,*,*,Antofagasta 110,Capricornio 110,*,F,F,101,F,F,91,91,T,F,F,91,91,110,2.1056,6.7144,T,5,1,F,STx,Cmn,F,F,*,0,0,30,CNE,SING,STx-DS163(ojo),110
115,Antofagasta 110->La Negra 110,T,*,*,Antofagasta 110,La Negra 110,*,F,F,101,F,F,122,122,T,F,F,122,122,110,3.0336,7.5264,T,5,1,F,STx,Cmn,F,F,*,0,0,30,CNE,SING,STx-DS163,110
116,La Negra 110->Alto Norte 110,T,*,*,La Negra 110,Alto Norte 110,*,F,F,101,F,F,122,122,T,F,F,122,122,110,0.7584,1.8816,T,5,1,F,STx,Cmn,F,F,*,0,0,30,CNE,SING,STx-Tramos que lo rodean son stx,110
117,Capricornio 110->El Negro 110,T,*,*,Capricornio 110,El Negro 110,*,F,F,101,F,F,137,137,T,F,F,137,137,110,3.4373,10.6042,T,5,1,F,STx,Cmn,F,F,*,0,0,30,CNE,SING,STx-DS163,110
118,El Negro 110->Alto Norte 110,T,*,*,El Negro 110,Alto Norte 110,*,F,F,101,F,F,137,137,T,F,F,137,137,110,0.6596,2.0349,T,5,1,F,STx,Cmn,F,F,*,0,0,30,CNE,SING,STx-DS163,110
119,Antofagasta 013->Antofagasta 110,T,*,*,Antofagasta 013,Antofagasta 110,*,F,F,101,F,F,30,30,F,F,F,30,30,110,0,46.65,T,5,1,F,STx,Cmn,F,F,*,0,0,30,CNE,SING,STx-DS163(alcance_nombre),13/110
120,CD Antofagasta 013->Antofagasta 013,T,*,*,CD Antofagasta 013,Antofagasta 013,BarA,F,F,101,F,F,28,28,F,F,F,28,28,13.8,0.2,0.3,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,13
121,Crucero 220->Chuquicamata 220 II,F,MesEne-2014,*,Crucero 220,Chuquicamata 220,*,F,F,101,F,F,330,330,T,F,T,330,330,220,3.8896,28.0772,T,5,1,F,TxT,Cmn,F,F,*,0,0,30,CNE,SING,TxT_Decreto_23T,220
122,Salar 110->Calama 110 II,F,MesEne-2014,*,Salar 110,Calama 110,*,F,F,101,F,F,44,44,T,F,F,44,44,110,2.745,4.543,T,5,1,F,STx,Cmn,F,F,*,0,0,30,CNE,SING,STx-DS163,110
123,Salar 110->Calama 110 III,F,MesEne-2014,*,Salar 110,Calama 110,*,F,F,101,F,F,44,44,T,F,F,44,44,110,2.745,4.543,T,5,1,F,STx,Cmn,F,F,*,0,0,30,CNE,SING,STx-DS163,110
124,Salar 220->Salar 110 II,F,MesEne-2014,*,Salar 220,Salar 110,BarB,F,F,101,F,F,120,120,T,F,F,120,120,220,0,34.2833,T,5,1,F,STx,Cmn,F,F,*,0,0,30,CNE,SING,STx-DS163,220/110
125,Salar 220->Salar 110 III,F,MesEne-2014,*,Salar 220,Salar 110,BarB,F,F,101,F,F,120,120,T,F,F,120,120,220,0,34.2833,T,5,1,F,STx,Cmn,F,F,*,0,0,30,CNE,SING,STx-DS163,220/110
126,Dolores 110->Cerro Balcon 110,T,*,*,Dolores 110,Cerro Balcon 110,*,F,F,101,F,F,29,29,T,F,F,29,29,110,5.52211,7.07421,T,5,1,F,STx,Cmn,F,F,*,0,0,30,CNE,SING,STx-DS163(alcance_nombre),110
127,Cerro Balcon 110->Pozo Almonte 110,T,*,*,Cerro Balcon 110,Pozo Almonte 110,*,F,F,101,F,F,29,29,T,F,F,29,29,110,17.80659,22.81149,T,5,1,F,STx,Cmn,F,F,*,0,0,30,CNE,SING,STx-DS163,110
128,Pozo Almonte 220->Pozo Almonte PMT,T,*,*,Pozo Almonte 220,Pozo Almonte PMT,BarB,F,F,101,F,F,100,100,T,F,F,100,100,220,0.41322314,6.198347107,T,5,1,F,STx,Cmn,F,F,*,0,0,30,CNE,SING,STx-DS163,220/PMT
129,Pozo Almonte PMT->Pozo Almonte 110,T,*,*,Pozo Almonte PMT,Pozo Almonte 110,*,F,F,101,F,F,100,100,T,F,F,100,100,110,1.652892562,24.79338843,T,5,1,F,STx,Cmn,F,F,*,0,0,30,CNE,SING,STx-DS163,PMT/110
130,Pozo Almonte PMT->Pozo Almonte 13.8,T,*,*,Pozo Almonte PMT,Pozo Almonte 13.8,*,F,F,101,F,F,20,20,F,F,F,20,20,13.8,0.2415,64.251,T,5,1,F,STx,Ret,F,F,*,0,0,30,CNE,SING,STx-DS163,PMT/13.8
131,Pozo Almonte 110->Pozo Almonte 066,T,*,*,Pozo Almonte 110,Pozo Almonte 066,*,F,F,101,F,F,30,30,F,F,F,30,30,110,0.597,41.503,T,5,1,F,STx,Cmn,F,F,*,0,0,30,CNE,SING,STx-DS163,110/66
132,Capricornio 110->Salar del Carmen 110,F,MesEne-2007,*,Capricornio 110,Salar del Carmen 110,*,F,F,101,F,F,116,116,T,F,F,116,116,110,1.609,5.13,T,5,1,F,STx,Cmn,F,F,*,0,0,30,CNE,SING,STx-DS163(ojo),110
133,Salar del Carmen 110->Antofagasta 110,F,MesEne-2007,*,Salar del Carmen 110,Antofagasta 110,*,F,F,101,F,F,116,116,T,F,F,116,116,110,0.496,1.585,T,5,1,F,STx,Cmn,F,F,*,0,0,30,CNE,SING,STx-DS163(ojo),110
134,Salar del Carmen 110->Uribe 110,F,MesEne-2007,*,Salar del Carmen 110,Uribe 110,*,F,F,101,F,F,80,80,T,F,F,80,80,110,0.52,1.656,T,5,1,F,STx,Ret,F,F,*,0,0,30,CNE,SING,STx-DS163(ojo),110
135,Chacaya 220->Andes 220 I,F,MesJul-2018,*,Chacaya 220,Andes 220,*,F,F,101,F,F,740,740,T,F,F,740,740,220,5.60268254,40.62579365,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,220
136,Chacaya 220->Andes 220 II,F,MesJul-2018,*,Chacaya 220,Andes 220,*,F,F,101,F,F,740,740,T,F,F,740,740,220,5.60268254,40.62579365,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,220
137,Tarapaca 220->Lagunas 220 II,F,MesEne-2027,*,Tarapaca 220,Lagunas 220,*,F,F,101,F,F,620,620,T,T,T,366,366,220,0.91333,7.27333,T,5,1,F,TxT,Cmn,F,F,*,0,0,30,CNE,SING,TxT_Decreto_23T,220
138,Tarapaca 220->Lagunas 220 III,F,MesEne-2017,*,Tarapaca 220,Lagunas 220,*,F,F,101,F,F,366,366,T,T,T,366,366,220,0.91333,7.27333,T,5,1,F,TxT,Cmn,F,F,*,0,0,30,CNE,SING,TxT_Decreto_23T,220
139,Crucero 220->Lagunas 220 II,F,*,MesAbr-2019,Crucero 220,Lagunas AUX 220,*,F,F,101,F,F,183,183,T,T,T,183,183,220,15.5014,68.6218,T,5,1,F,TxT,Cmn,F,F,*,0,0,30,CNE,SING,TxT_Decreto_23T,220
140,Crucero 220->Nueva Victoria 220 II,T,*,MesAgo-2018,Crucero 220,Nueva Victoria 220,*,F,F,101,F,F,183,183,T,T,T,183,183,220,15.76422,65.8657,T,5,1,F,TxT,Cmn,F,F,*,0,0,30,CNE,SING,TxT_Decreto_23T,220
141,Nueva Victoria 220->Lagunas 220 II,T,*,*,Nueva Victoria 220,Lagunas AUX 220,*,F,F,101,F,F,183,183,T,T,T,183,183,220,1.61838,6.7619,T,5,1,F,TxT,Cmn,F,F,*,0,0,30,CNE,SING,TxT_Decreto_23T,220
142,Encuentro 220->Lagunas 220 III,T,MesAbr-2017,*,Encuentro 220,Lagunas AUX 220,*,F,F,101,F,F,290,290,T,T,T,290,290,220,15.5014,68.6218,T,5,1,F,TxT,Cmn,F,F,*,0,0,30,CNE,SING,TxT_Decreto_23T,220
143,Encuentro 220->Lagunas 220 IV,T,MesAbr-2017,*,Encuentro 220,Lagunas AUX 220,*,F,F,101,F,F,290,290,T,T,T,290,290,220,15.5014,68.6218,T,5,1,F,TxT,Cmn,F,F,*,0,0,30,CNE,SING,TxT_Decreto_23T,220
144,Mejillones 220->Mejillones 110 I,T,MesEne-2015,*,Mejillones 220,Mejillones 110,BarA,F,F,101,F,F,100,100,T,F,F,100,100,220,0,64.0695,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,220/110
145,Mejillones 220->Mejillones 110 II,T,MesEne-2015,*,Mejillones 220,Mejillones 110,BarA,F,F,101,F,F,100,100,T,F,F,100,100,220,0,64.0695,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,220/110
146,Salar 110->KM6 110 I,T,MesEne-2015,*,Salar 110,KM6 110,BarB,F,F,101,F,F,62,62,F,F,F,62,62,110,0.58,1.74,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,110
147,Salar 110->KM6 110 II,T,MesEne-2016,*,Salar 110,KM6 110,BarB,F,F,101,F,F,62,62,F,F,F,62,62,110,0.58,1.74,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,110
148,Minsal 110->Minsal 023 I,T,MesEne-2015,*,Minsal 110,Minsal 023,*,F,F,101,F,F,20,20,F,F,F,20,20,110,0,40.7165,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,110/23
149,Chuquicamata 110->KM6 110 I,T,MesEne-2015,*,Chuquicamata 110,KM6 110,*,F,F,101,F,F,100,100,F,F,F,100,100,110,0.4803,2.0143,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,110
150,Capricornio 220->Capricornio 110 I,T,MesEne-2015,*,Capricornio 220,Capricornio 110,*,F,F,101,F,F,80,80,T,F,F,80,80,220,0,78.0853,T,5,1,F,STx,Cmn,F,F,*,0,0,30,CNE,SING,STx-Pendiente,220/110
151,Lagunas 220->Collahuasi 220 I,F,MesEne-2015,*,Lagunas 220,Collahuasi 220,BarB,F,F,101,F,F,240,240,T,F,F,240,240,220,4.72,23.7416,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,220
152,Mejillones 220->O'higgins 220 I,F,MesEne-2015,*,Mejillones 220,O'higgins 220,BarA,F,F,101,F,F,183,183,T,F,F,183,183,220,5.2414,20.9656,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,220
153,Mejillones 220->O'higgins 220 II,T,MesEne-2020,*,Mejillones 220,O'higgins 220,BarA,F,F,101,F,F,183,183,T,F,F,183,183,220,5.2414,20.9656,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,220
154,Chacaya 220->Mejillones 220 I,F,MesEne-2015,*,Chacaya 220,Mejillones 220,*,F,F,101,F,F,332,332,T,F,F,332,332,220,0.1044,0.5324,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,220
155,O'higgins 220->Palestina 220 I,F,MesEne-2015,*,O'higgins 220,Palestina 220,BarB,F,F,101,F,F,183,183,T,F,F,183,183,220,3.97,15.88,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,220
156,Salar 110->Calama 110 I,F,MesEne-2015,*,Salar 110,Calama 110,*,F,F,101,F,F,44,44,T,F,F,44,44,110,2.745,4.543,T,5,1,F,STx,Cmn,F,F,*,0,0,30,CNE,SING,STx-DS163,110
157,Barril 220->Barril 110 I,T,MesEne-2015,*,Barril 220,Barril 110,*,F,F,101,F,F,30,30,F,F,F,30,30,220,0,193.6,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,220/110
158,Pozo Almonte 110->Pozo Almonte 066 I,T,MesEne-2015,*,Pozo Almonte 110,Pozo Almonte 066,*,F,F,101,F,F,30,30,F,F,F,30,30,110,0.597,41.503,T,5,1,F,STx,Cmn,F,F,*,0,0,30,CNE,SING,STx-Pendiente,110/66
159,Palestina 220->Domeyko 220 I,F,MesEne-2015,*,Palestina 220,Domeyko 220,*,F,F,101,F,F,183,183,T,F,F,183,183,220,5.22,20.88,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,220
160,Laberinto 220->Nueva Zaldivar 220 III,F,MesEne-2015,*,Laberinto 220,Nueva Zaldivar 220,BarB,F,F,101,F,F,183,183,T,F,F,183,183,220,6.4525,35.6356,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,220
161,Encuentro 220->Collahuasi 220 I,T,*,*,Encuentro 220,Collahuasi 220 Aux,BarB,F,F,101,F,F,170,170,T,F,F,170,170,220,17.999,81.4368,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,220
162,Antofagasta 110->Capricornio 110 I,T,MesEne-2016,*,Antofagasta 110,Capricornio 110,*,F,F,101,F,F,76,76,T,F,F,76,76,110,2.1056,6.7144,T,5,1,F,STx,Cmn,F,F,*,0,0,30,CNE,SING,STx-DS163(ojo),110
163,Arica 110->Arica 066 I,T,MesMay-2016,*,Arica 110,Arica 066,*,F,F,101,F,F,30,30,F,F,F,30,30,110,0,23.837,T,5,1,F,STx,Cmn,F,F,*,0,0,30,CNE,SING,STx-Pendiente,110/66
164,Arica 110->Arica 066 II,T,MesMay-2016,*,Arica 110,Arica 066,*,F,F,101,F,F,30,30,F,F,F,30,30,110,0,23.837,T,5,1,F,STx,Cmn,F,F,*,0,0,30,CNE,SING,STx-Pendiente,110/66
165,Arica 110->Dolores 110 I,T,MesMay-2016,*,Arica 110,Dolores 110,*,F,F,101,F,F,29,29,T,F,F,29,29,110,40.4561,51.8271,T,5,1,F,STx,Cmn,F,F,*,0,0,30,CNE,SING,STx-DS163 (a través de tapoff),110
166,Arica 110->Dolores 110 II,T,MesMay-2016,*,Arica 110,Dolores 110,*,F,F,101,F,F,29,29,T,F,F,29,29,110,40.4561,51.8271,T,5,1,F,STx,Cmn,F,F,*,0,0,30,CNE,SING,STx-DS163 (a través de tapoff),110
167,Chapiquiña 066->El Aguila 066 I,T,MesMay-2016,*,Chapiquiña 066,El Aguila 066,BarB,F,F,101,F,F,48,48,F,F,F,48,48,66,8.6913,14.8333,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,66
168,El Aguila 066->Arica 066 I,T,MesMay-2016,*,El Aguila 066,Arica 066,BarA,F,F,101,F,F,48,48,F,F,F,48,48,66,11.0403,18.8423,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,66
169,Tarapaca 220->Condores 220 I,F,MesEne-2017,*,Tarapaca 220,Condores 220,*,F,F,101,F,F,160,160,T,F,T,160,160,220,6.27,28,T,5,1,F,TxT,Cmn,F,F,*,0,0,30,CNE,SING,TxT_Decreto_23T,220
170,Dolores 110->Cerro Balcon 110 I,T,MesMay-2016,*,Dolores 110,Cerro Balcon 110,*,F,F,101,F,F,29,29,T,F,F,29,29,110,5.52211,7.07421,T,5,1,F,STx,Cmn,F,F,*,0,0,30,CNE,SING,STx-DS163(alcance_nombre),110
171,Dolores 110->Pozo Almonte 110 I,T,MesMay-2016,*,Dolores 110,Pozo Almonte 110,*,F,F,101,F,F,29,29,T,F,F,29,29,110,23.3287,29.8857,T,5,1,F,STx,Cmn,F,F,*,0,0,30,CNE,SING,STx-DS163 (a través de tapoff),110
172,Cerro Balcon 110->Pozo Almonte 110 I,T,MesMay-2016,*,Cerro Balcon 110,Pozo Almonte 110,*,F,F,101,F,F,29,29,T,F,F,29,29,110,17.80659,22.81149,T,5,1,F,STx,Cmn,F,F,*,0,0,30,CNE,SING,STx-DS163(alcance_nombre),110
173,Pozo Almonte 220->Pozo Almonte1 110 I,T,MesEne-2018,*,Pozo Almonte 220,Pozo Almonte1 110,BarB,F,F,101,F,F,100,100,T,F,F,100,100,220,0,64.251,T,5,1,F,STx,Cmn,F,F,*,0,0,30,CNE,SING,STx-DS163(alcance_nombre),220/110
174,Salar 220->Salar 110 I,T,MesEne-2018,*,Salar 220,Salar 110,BarB,F,F,101,F,F,120,120,T,F,F,120,120,220,0,34.2833,T,5,1,F,STx,Cmn,F,F,*,0,0,30,CNE,SING,STx-DS163,220/110
175,Chuquicamata 220->Chuquicamata 110 I,T,MesEne-2018,*,Chuquicamata 220,Chuquicamata 110,BarB,F,F,101,F,F,240,240,F,F,F,240,240,220,0,28.2333,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,220/110
176,Nueva Zaldivar 220->Escondida 220 II,F,MesEne-2018,*,Nueva Zaldivar 220,Escondida 220,*,F,F,101,F,F,183,183,T,F,F,183,183,220,1.0038,5.5216,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,220
177,Esmeralda 110->Centro 110 I,T,MesEne-2018,*,Esmeralda 110,Centro 110,*,F,F,101,F,F,98,98,T,F,F,98,98,110,0.0827,0.2092,T,5,1,F,STx,Cmn,F,F,*,0,0,30,CNE,SING,STx-Pendiente,110
178,Laberinto 220->Lomas Bayas 220 I,T,MesEne-2020,*,Laberinto 220,Lomas Bayas 220,BarB,F,F,101,F,F,209,209,F,F,F,209,209,220,0.904,4.164,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,220
179,Pampa 110->Mejillones 110 I,T,MesEne-2020,*,Pampa 110,Mejillones 110,*,F,F,101,F,F,57,57,T,F,F,57,57,110,4.8765,11.6655,T,5,1,F,STx,Cmn,F,F,*,0,0,30,CNE,SING,STx-DS163(alcance_nombre),110
180,Pozo Almonte 066->Tamarugal 066 I,T,MesEne-2020,*,Pozo Almonte 066,Tamarugal 066,*,F,F,101,F,F,10,10,F,F,F,10,10,66,6.2733,9.2789,T,5,1,F,STx,Cmn,F,F,*,0,0,30,CNE,SING,STx-Pendiente,66
181,Desalant 110->Pampa 110 I,T,MesEne-2020,*,Desalant 110,Pampa 110,*,F,F,101,F,F,57,57,T,F,F,57,57,110,3.1939,7.6404,T,5,1,F,STx,Cmn,F,F,*,0,0,30,CNE,SING,STx-DS163(alcance_nombre),110
182,Nueva Zaldivar 220->Zaldivar 220 I,T,MesEne-2020,*,Nueva Zaldivar 220,Zaldivar 220,*,F,F,101,F,F,360,360,T,F,F,360,360,220,0.02,0.08,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,220
183,Antofagasta 110->Desalant 110 I,T,MesEne-2020,*,Antofagasta 110,Desalant 110,*,F,F,101,F,F,57,57,T,F,F,57,57,110,1.7917,4.2861,T,5,1,F,STx,Cmn,F,F,*,0,0,30,CNE,SING,STx-DS163(alcance_nombre),110
184,Encuentro 220->Spence 220 I,T,MesEne-2020,*,Encuentro 220,Spence 220,BarB,F,F,101,F,F,318,318,F,F,F,318,318,220,4.891,27.202,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,220
185,Condores 220->Parinacota 220 I,F,MesEne-2020,*,Condores 220,Parinacota 220,*,F,F,101,F,F,91,91,T,F,T,91,91,220,20.1375,90.675,T,5,1,F,TxT,Cmn,F,F,*,0,0,30,CNE,SING,TxT_Decreto_23T,220
186,Lagunas 220->Lagunas 220 AUX,F,*,MesMar-2013,Lagunas 220,Lagunas AUX 220,*,F,F,101,F,F,160,160,T,T,T,160,160,220,0,0.0001,T,5,1,F,TxT,Cmn,F,F,*,0,0,30,CNE,SING,TxT_Decreto_23T,220
187,Lagunas 220->Lagunas 220 AUX II,F,*,MesAgo-2013,Lagunas 220,Lagunas AUX 220,*,F,F,101,F,F,180,180,T,T,T,180,180,220,0,0.0001,T,5,1,F,TxT,Cmn,F,F,*,0,0,30,CNE,SING,TxT_Decreto_23T,220
188,Lagunas 220->Lagunas 220 AUX III,T,*,MesMar-2017,Lagunas 220,Lagunas AUX 220,*,F,F,101,F,F,366,366,T,T,T,183,183,220,0,0.0001,T,5,1,F,TxT,Cmn,F,F,*,0,0,30,CNE,SING,TxT_Decreto_23T,220
189,Lagunas 220->Lagunas 220 AUX IV,T,MesAbr-2017,*,Lagunas 220,Lagunas AUX 220,*,F,F,101,F,F,549,549,T,T,T,549,549,220,0,0.0001,T,5,1,F,TxT,Cmn,F,F,*,0,0,30,CNE,SING,TxT_Decreto_23T,220
190,Encuentro 220->Collahuasi 220 II,T,*,*,Encuentro 220,Collahuasi 220 Aux,BarB,F,F,101,F,F,170,170,T,F,F,170,170,220,17.999,81.4368,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,220
191,Crucero 220->Encuentro 220 III,F,MesAgo-2018,*,Crucero 220,Encuentro 220,*,F,F,101,F,F,1600,1600,T,T,T,1098,1098,220,0.011,0.103,T,5,1,F,TxT,Cmn,F,F,*,0,0,30,CNE,SING,TxT_Decreto_23T,220
192,CD Arica 066->Tap Quiani 066,T,*,*,CD Arica 066,Tap Quiani,BarB,F,F,101,F,F,17,17,F,F,F,17,17,66,1.599,2.0096,T,5,1,F,STx,Cmn,F,F,*,0,0,30,CNE,SING,STx-DS163(alcance_nombre),66
193,Tap Quiani 066->Arica 066,T,*,*,Tap Quiani,Arica 066,*,F,F,101,F,F,17,17,F,F,F,17,17,66,1.79894,2.2608,T,5,1,F,STx,Cmn,F,F,*,0,0,30,CNE,SING,STx-DS163,66
194,Tap Quiani 066->Quiani 066,F,MesAbr-2012,MesMay-2012,Tap Quiani,Quiani 066,*,F,F,101,F,F,17,17,T,F,F,17,17,66,0,0.0001,T,5,1,F,STx,Cmn,F,F,*,0,0,30,CNE,SING,STx-DS163,66
195,Nueva Mejillones 220->Chacaya 220,F,MesFeb-2020,*,Nueva Mejillones 220,Chacaya 220,*,F,F,101,F,F,1500,1500,T,F,F,1500,1500,220,0.02,0.2,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,220
196,Nueva Mejillones 220->Nueva Mejillones 500 I,F,MesFeb-2020,*,Nueva Mejillones 220,Nueva Mejillones 500,*,F,F,101,F,F,750,750,T,T,F,750,750,500,0.5,45,T,5,1,T,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,220/500
197,Nueva Mejillones 220->Nueva Mejillones 500 II,F,MesFeb-2020,*,Nueva Mejillones 220,Nueva Mejillones 500,*,F,F,101,F,F,750,750,T,T,F,750,750,500,0.5,45,T,5,1,T,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,220/500
198,Atacama 220->Nueva Mejillones 220,F,MesAbr-2021,*,Atacama 220,Nueva Mejillones 220,BarB,F,F,101,F,F,1500,1500,T,F,F,1500,1500,220,0.02,0.2,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,220
199,Crucero 220->Encuentro 220  III,T,MesDic-2015,MesOct-2018,Crucero 220,Encuentro 220 Aux,*,F,F,101,F,F,1000,1000,T,T,T,1000,1000,220,0.022,0.206,T,5,1,T,TxT,Cmn,F,F,*,0,10000,30,CNE,SING,TxT_Decreto_23T,220
200,Crucero 220->Encuentro 220  IV,T,MesDic-2015,MesOct-2018,Crucero 220,Encuentro 220 Aux,*,F,F,101,F,F,1000,1000,T,T,T,1000,1000,220,0.022,0.206,T,5,1,T,TxT,Cmn,F,F,*,0,10000,30,CNE,SING,TxT_Decreto_23T,220
201,Encuentro 220->Encuentro 220 Aux II,T,MesDic-2015,MesNov-2018,Encuentro 220,Encuentro 220 Aux,*,F,F,101,F,F,1000,1000,T,T,T,1000,1000,220,0,0.0001,T,5,1,T,TxT,Cmn,F,F,*,0,0,30,CNE,SING,TxT_Decreto_23T,220
202,Crucero 220->Crucero 220 Aux S,T,MesNov-2018,*,Crucero 220,Crucero 220 Aux S,*,F,F,101,F,F,1000,1000,T,T,T,500,500,220,0,0.0001,T,5,1,T,TxT,Cmn,F,F,*,0,0,30,CNE,SING,TxT_Decreto_23T,220
203,Encuentro 220 Aux->EnlaceCE 220 I,F,MesAgo-2018,*,Encuentro 220 Aux,EnlaceCE 220,*,F,F,101,F,F,1000,1000,T,T,T,1000,1000,220,0.011,0.103,T,5,1,T,TxT,Cmn,F,F,*,0,10000,30,CNE,SING,TxT(relleno en F),220
