CenINum,CenAñoFRlt,CenAñoIni,CenAñoFin,CenIBlo,CenNom,CenDatTip,CenEtaTip,SemAbr01,SemAbr02,SemAbr03,SemAbr04,SemMay01,SemMay02,SemMay03,SemMay04,SemJun01,SemJun02,SemJun03,SemJun04,SemJul01,SemJul02,SemJul03,SemJul04,SemAgo01,SemAgo02,SemAgo03,SemAgo04,SemSep01,SemSep02,SemSep03,SemSep04,SemOct01,SemOct02,SemOct03,SemOct04,SemNov01,SemNov02,SemNov03,SemNov04,SemDic01,SemDic02,SemDic03,SemDic04,SemEne01,SemEne02,SemEne03,SemEne04,SemFeb01,SemFeb02,SemFeb03,SemFeb04,SemMar01,SemMar02,SemMar03,SemMar04
17,F,2017,2017,*,Nueva Renca FA GLP,CenPotMax,EtaSem,29.28,29.28,29.28,29.28,29.28,29.28,29.28,29.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,F,2017,2017,*,Nueva Renca GNL CP,CenPotMax,EtaSem,0,0,0,0,0,0,0,0,321.104,321.104,321.104,321.104,321.104,321.104,321.104,320.607345,320.309352,320.309352,320.309352,320.309352,0,0,0,0,91.51695771,320.309352,320.309352,320.309352,320.309352,320.309352,320.309352,320.309352,320.309352,320.309352,320.309352,320.309352,0,0,0,0,0,0,0,0,0,0,0,0
19,F,2017,2017,*,Nueva Renca GNL,CenPotMax,EtaSem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,F,2017,2017,*,Nueva Renca Int GNL,CenPotMax,EtaSem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,F,2017,2017,*,Candelaria CA 01 GNL,CenPotMax,EtaSem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,F,2017,2017,*,Candelaria CA 02 GNL,CenPotMax,EtaSem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,F,2017,2017,*,Candelaria CC GNL,CenPotMax,EtaSem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,F,2017,2017,*,Colmito GNL ,CenPotMax,EtaSem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,F,2017,2017,*,Colmito GNL TP,CenPotMax,EtaSem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,F,2017,2017,*,Cordillera 01,CenPotMax,EtaSem,4,4,4,4,3.870967742,3.870967742,3.870967742,3.870967742,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
27,F,2017,2017,*,Cordillera 02,CenPotMax,EtaSem,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
28,F,2017,2017,*,Cordillera 03,CenPotMax,EtaSem,0,0,0,0,0,0,0,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
29,F,2017,2017,*,Taltal 01 Diesel,CenPotMax,EtaSem,110,110,110,110,110,110,110,110,110,110,110,107.7883007,103.6808592,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
30,F,2017,2017,*,Taltal 02 Diesel,CenPotMax,EtaSem,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
31,F,2017,2017,*,Nehuenco 01 Diesel,CenPotMax,EtaSem,49.16437504,49.16437504,49.16437504,49.16437504,310,310,310,310,174.3278671,190.0372719,190.0372719,220.0279539,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,23.58126383,23.58126383,23.58126383,23.58126383,23.58126383,23.58126383,23.58126383,23.58126383,23.58126383,23.58126383,23.58126383,23.58126383
32,F,2017,2017,*,Nehuenco 02 Diesel,CenPotMax,EtaSem,75.73365794,75.73365794,75.73365794,75.73365794,65.22477987,65.22477987,65.22477987,65.22477987,223.8859321,243.2359821,243.2359821,206.2949776,95.47196421,70.84462789,46.21729158,78.42523434,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,59.7942396,59.7942396,59.7942396,59.7942396,59.7942396,59.7942396,59.7942396,59.7942396,81.16235318,81.16235318,81.16235318,81.16235318
33,F,2017,2017,*,Nehuenco 9B 01 Diesel,CenPotMax,EtaSem,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92
34,F,2017,2017,*,Nehuenco 9B 02 Diesel,CenPotMax,EtaSem,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
35,F,2017,2017,*,San Isidro Diesel,CenPotMax,EtaSem,30.8580523,30.8580523,30.8580523,30.8580523,21.71998738,21.71998738,21.71998738,21.71998738,40.78623381,38.20871272,78.81086221,305,231.2190901,143.6042596,305,114.375,0,0,0,0,0,0,0,0,0,0,0,0,122,122,122,122,0,0,0,0,1.368415995,1.368415995,1.368415995,1.368415995,1.368415995,1.368415995,1.368415995,1.368415995,1.368415995,1.368415995,1.368415995,1.368415995
36,F,2017,2017,*,San Isidro 02 CC Diesel,CenPotMax,EtaSem,34.19354839,34.19354839,34.19354839,34.19354839,23.66666667,23.66666667,23.66666667,23.66666667,0,0,18.781126,109.5998732,31.42560497,53.38991476,171.2621941,74.97290798,49.88504295,350,131.1661772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,F,2017,2017,*,Quintero 01 CA Diesel,CenPotMax,EtaSem,127.104,127.104,127.104,127.104,127.104,127.104,127.104,127.104,127.104,127.104,127.104,127.104,127.104,127.104,127.104,127.104,127.104,127.104,127.104,127.104,127.104,127.104,127.104,127.104,127.104,127.104,127.104,127.104,127.104,127.104,127.104,127.104,127.104,127.104,127.104,127.104,127.104,127.104,127.104,127.104,127.104,127.104,127.104,127.104,127.104,127.104,127.104,127.104
38,F,2017,2017,*,Quintero 02 CA Diesel,CenPotMax,EtaSem,128.097,128.097,128.097,128.097,128.097,128.097,128.097,128.097,128.097,128.097,128.097,128.097,128.097,128.097,128.097,128.097,128.097,128.097,128.097,128.097,128.097,128.097,128.097,128.097,128.097,128.097,128.097,128.097,128.097,128.097,128.097,128.097,128.097,128.097,128.097,128.097,50.4633017,50.4633017,50.4633017,50.4633017,50.4633017,50.4633017,50.4633017,50.4633017,50.4633017,50.4633017,50.4633017,50.4633017
39,F,2017,2017,*,Nueva Renca Diesel,CenPotMax,EtaSem,312.32,312.32,312.32,312.32,312.32,312.32,312.32,312.32,312.32,312.32,312.32,312.32,312.32,312.32,312.32,312.32,312.32,312.32,312.32,312.32,312.32,312.32,312.32,312.32,312.32,312.32,312.32,312.32,312.32,312.32,312.32,312.32,312.32,312.32,312.32,312.32,312.32,312.32,312.32,312.32,312.32,312.32,312.32,312.32,312.32,312.32,312.32,312.32
40,F,2017,2017,*,Candelaria CA 01 Diesel,CenPotMax,EtaSem,124.6735,124.6735,124.6735,124.6735,124.6735,124.6735,124.6735,124.6735,124.6735,124.6735,124.6735,124.6735,124.6735,124.6735,124.6735,124.6735,124.6735,124.6735,124.6735,124.6735,124.6735,124.6735,124.6735,124.6735,124.6735,124.6735,124.6735,124.6735,124.6735,124.6735,124.6735,124.6735,124.6735,124.6735,124.6735,124.6735,124.6735,124.6735,124.6735,124.6735,124.6735,124.6735,124.6735,124.6735,124.6735,124.6735,124.6735,124.6735
41,F,2017,2017,*,Candelaria CA 02 Diesel,CenPotMax,EtaSem,127.9172,127.9172,127.9172,127.9172,127.9172,127.9172,127.9172,127.9172,127.9172,127.9172,127.9172,127.9172,127.9172,127.9172,127.9172,127.9172,127.9172,127.9172,127.9172,127.9172,127.9172,127.9172,127.9172,127.9172,127.9172,127.9172,127.9172,127.9172,127.9172,127.9172,127.9172,127.9172,127.9172,127.9172,127.9172,127.9172,127.9172,127.9172,127.9172,127.9172,127.9172,127.9172,127.9172,127.9172,127.9172,127.9172,127.9172,127.9172
42,F,2017,2017,*,Colmito Diesel,CenPotMax,EtaSem,57.71,57.71,57.71,57.71,57.71,57.71,57.71,57.71,57.71,57.71,57.71,57.71,57.71,57.71,57.71,57.71,57.71,57.71,57.71,57.71,57.71,57.71,57.71,57.71,57.71,57.71,57.71,57.71,57.71,57.71,57.71,57.71,57.71,57.71,57.71,57.71,57.71,57.71,57.71,57.71,57.71,57.71,57.71,57.71,57.71,57.71,57.71,57.71
79,F,2018,2018,2,San Isidro GNL,CenPotMin,EtaSem,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,0,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
81,F,2018,2018,6,San Isidro GNL,CenPotMin,EtaSem,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,0,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
88,F,2018,2018,4,San Isidro 02 GNL,CenPotMin,EtaSem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,F,2018,2018,8,San Isidro 02 GNL,CenPotMin,EtaSem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
