CenINum,CenAñoFRlt,CenAñoIni,CenAñoFin,CenIBlo,CenNom,CenDatTip,CenEtaTip,SemAbr01,SemAbr02,SemAbr03,SemAbr04,SemMay01,SemMay02,SemMay03,SemMay04,SemJun01,SemJun02,SemJun03,SemJun04,SemJul01,SemJul02,SemJul03,SemJul04,SemAgo01,SemAgo02,SemAgo03,SemAgo04,SemSep01,SemSep02,SemSep03,SemSep04,SemOct01,SemOct02,SemOct03,SemOct04,SemNov01,SemNov02,SemNov03,SemNov04,SemDic01,SemDic02,SemDic03,SemDic04,SemEne01,SemEne02,SemEne03,SemEne04,SemFeb01,SemFeb02,SemFeb03,SemFeb04,SemMar01,SemMar02,SemMar03,SemMar04
1,F,2016,2016,*,Guacolda 01,CenPotMin,EtaSem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,56,56,56,56,56,56,56,56,56,56,56
2,F,2017,2017,*,Guacolda 01,CenPotMin,EtaSem,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,0,0,0,0,0,0,0,0,0,0,0,0
3,F,2016,2016,*,Guacolda 02,CenPotMin,EtaSem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,56,56,56,56,56,56,56,56,56,56,56
4,F,2017,2017,*,Guacolda 02,CenPotMin,EtaSem,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,0,0,0,0,0,0,0,0,0,0,0,0
5,F,2016,2016,*,Guacolda 03,CenPotMin,EtaSem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,56,56,56,56,56,56,56,56,56,56,56
6,F,2017,2017,*,Guacolda 03,CenPotMin,EtaSem,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,0,0,0,0,0,0,0,0,0,0,0,0
