CenINum,CenNom,CenFOpe,CenFecOpeIni,CenFecOpeFin,CenEmiFMDL,CenEmiFDpz,CenEmiDpz [tCO2e/GWh],CenFERNC,CenUbc,CenBar,CenFDua,CenDua,CenPotMax,CenPotMin,CenKxxx/kWh,CenCosVar,CenCosTrp,CenRenTer,CenCosOpe,CenDisEne,CenEtaCVar,CenEtaCTrp,CenConPro%,CenFInv,CenFecInv,CenVI,CenCOMA,CenVidUti,CenEtaCOMA,CenEmp,CenCmr,CenAux
23,Quintero 02 CA Diesel,T,*,*,F,T,868,F,SIC,San Luis 220,F,*,128.097,0,0.275,519.5183621,0,0.2417,5.14,0.979,Quintero Diesel,*,0,F,*,0,0,24,*,Endesa,Endesa,Petróleo Diesel
24,Quintero 02 CA GNL,T,*,MesMar-2018,F,T,868,F,SIC,San Luis 220,F,*,128.097,0,0.275,225.457744,0,0.317460803,3.799578549,0.979,Quintero GNL,*,0,F,*,0,0,24,*,Endesa,Endesa,GNL
25,Quintero CC FA GNL,F,*,*,F,T,546,F,SIC,San Luis 220,F,*,35,0,0.000224929,222.8092692,0,0.266496,2.5,0.979,GNL,*,0,F,*,0,0,24,*,Plan de Obra,Plan de Obra,GNL
26,Quintero CC GNL,F,MesEne-2028,*,F,T,405,F,SIC,San Luis 220,F,*,350,0,0.000166914,222.8092692,0,0.19776,2.5,0.979,GNL,*,0,F,*,123.2387,2.464774,24,*,Plan de Obra,Plan de Obra,GNL
27,Nueva Renca FA GLP,T,*,MesMar-2018,F,T,580,F,SIC,Cerro Navia 110,F,*,29.28,0,0.00000678,561.6564004,0,0.197,0.061004313,0.979,Nueva Renca FA,*,0,F,*,0,0,24,*,ELÉCTRICA SANTIAGO,ELÉCTRICA SANTIAGO,Petróleo Diesel
28,Nueva Renca Diesel,T,*,*,F,T,540,F,SIC,Cerro Navia 110,F,*,312.32,0,0.171,538.9564096,0,0.171,7.474272564,0.976,Nueva Renca Diesel,*,0,F,*,0,0,24,*,ELÉCTRICA SANTIAGO,ELÉCTRICA SANTIAGO,Petróleo Diesel
29,Nueva Renca GNL CP,T,*,MesMar-2018,F,T,470,F,SIC,Cerro Navia 110,F,*,321.104,0,0.000194,91.92934973,0,0.38,5.55,0.976,Nueva Renca GNL,*,0,F,*,0,0,24,*,Sociedad Eléctrica de Santiago S.A.,Sociedad Eléctrica de Santiago S.A.,GNL
30,Nueva Renca GNL,F,MesEne-2028,*,F,T,470,F,SIC,Cerro Navia 110,F,*,321.104,0,0.000194,91.92934973,0,0.38,5.55,0.976,Nueva Renca GNL,*,0,F,*,0,0,24,*,Sociedad Eléctrica de Santiago S.A.,Sociedad Eléctrica de Santiago S.A.,GNL
31,Nueva Renca Int GNL,F,MesFeb-2027,*,F,T,607,F,SIC,Cerro Navia 110,F,*,29.28,0,0.00025,561.6564004,0,0.197,0.061004313,0.979,Nueva Renca FA,*,0,F,*,0,0,24,*,Sociedad Eléctrica de Santiago S.A.,Sociedad Eléctrica de Santiago S.A.,GNL
32,Candelaria CA 01 Diesel,T,*,*,F,T,1016,F,SIC,Alto Jahuel 220,F,*,124.6735,0,0.3217,501.6445421,0,0.276030223,2.8,0.979,Candelaria Diesel,*,0,F,*,0,0,24,*,COLBÚN,COLBÚN,Petróleo Diesel
33,Candelaria CA 02 Diesel,T,*,*,F,T,1016,F,SIC,Alto Jahuel 220,F,*,127.9172,0,0.322,501.6445421,0,0.276030223,2.8,0.979,Candelaria Diesel,*,0,F,*,0,0,24,*,COLBÚN,COLBÚN,Petróleo Diesel
34,Candelaria CA 01 GNL,T,*,MesMar-2018,F,T,713,F,SIC,Alto Jahuel 220,F,*,124.6735,0,0.000294045,250.956584,0,0.3144,2.8,0.979,Candelaria GNL,*,0,F,*,0,0,24,*,Colbún S.A.,Colbún S.A.,GNL
35,Candelaria CA 02 GNL,T,*,MesMar-2018,F,T,713,F,SIC,Alto Jahuel 220,F,*,127.9172,0,0.000294,250.956584,0,0.3144,2.8,0.979,Candelaria GNL,*,0,F,*,0,0,24,*,Colbún S.A.,Colbún S.A.,GNL
36,Candelaria CC GNL,F,MesDic-2022,*,F,T,713,F,SIC,Alto Jahuel 220,F,*,360,0,0.00000818,222.8092692,0,0.3144,3.19,0.95,GNL,*,0,F,*,139.63209,2.7926418,24,*,Plan de Obra,Plan de Obra,GNL
