DemIndINum,DemIndAñoFRlt,DemIndAñoIni,DemIndAñoFin,DemIndBar,DemIndSisGbl,DemIndSisPri,DemIndSisSec,DemIndSisCmr,DemIndIBlo,DemIndEtaTip,MesAbr,MesMay,MesJun,MesJul,MesAgo,MesSep,MesOct,MesNov,MesDic,MesEne,MesFeb,MesMar
25,F,2016,2016,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,9,EtaMes,1.03427111,1.050894441,1.003913612,1.017822324,0.997234706,1.057479695,0.995309828,0.995793654,1.094966482,0.931871349,0.996236318,0.999602769
26,F,2016,2016,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,10,EtaMes,0.962484518,0.965945687,0.951688565,0.982139839,0.959801727,0.918448376,0.965947569,0.949630382,0.918871634,0.978325311,0.954695869,0.956707947
27,F,2016,2016,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,11,EtaMes,1.050459167,1.049638906,1.00444717,1.025992212,1.007797887,1.044083909,1.001842843,1.019576451,1.104081244,0.96395352,1.012812754,1.000045955
28,F,2016,2016,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,12,EtaMes,0.946509716,0.943631412,0.967034508,0.979226795,0.971378251,0.899796443,0.969146695,0.967274743,0.931574348,0.982387833,0.977165761,0.96649679
29,F,2016,2016,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,13,EtaMes,1.020491125,1.062169691,0.992245114,1.034280437,1.01302077,1.049794861,0.998278112,1.037472868,1.111169998,0.976016586,1.013474455,1.024627004
30,F,2016,2016,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,14,EtaMes,0.913578764,0.917889233,0.973326386,0.958679084,0.937886438,0.855944099,0.983090431,0.994279469,0.950439717,0.989861849,0.979763658,0.978965887
31,F,2016,2016,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,15,EtaMes,1.050401041,1.066565595,1.001002644,1.038274352,1.01967691,1.104276229,1.021284927,1.06340307,1.145099326,1.031277558,1.058333479,1.04637834
32,F,2016,2016,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,16,EtaMes,0.951159786,0.93220896,0.987238392,0.950434304,0.960146835,0.915146851,1.016368756,1.03662618,0.984975885,1.03553302,1.032495487,1.027863188
33,F,2017,2017,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,1,EtaMes,1.066251669,1.053789519,1.027162421,1.058971687,1.032165893,1.082310703,1.016589633,1.050056747,1.135715147,1.025467036,1.02895601,1.012596768
34,F,2017,2017,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,2,EtaMes,1.015492796,0.985454227,1.02588153,1.00440489,1.009591658,0.981731005,1.026002399,1.028509439,0.970979554,1.037732477,1.031714244,1.026579026
35,F,2017,2017,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,3,EtaMes,1.050984413,1.039266384,1.029449864,1.057325485,1.04732279,1.09397197,1.030836944,1.031740805,1.128061649,1.021425602,1.02854525,1.012994948
