DemIndNum,DemIndAñoFRlt,DemIndAñoIni,DemIndAñoFin,DemIndBar,DemIndTasa,DemIndFPot,DemIndEtaTip,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar
27,F,2028,2028,Alto Jahuel 110,0,F,EtaMes,30.80909716,33.65550555,31.88129374,33.66225251,32.95852746,31.82847251,33.59014596,33.17000845,34.99715583,34.01628031,30.84336581,33.77671809
28,F,2029,2029,Alto Jahuel 110,0,F,EtaMes,31.58314125,34.49153496,32.68012717,34.5024804,33.78594536,32.62035819,34.42934894,34.00089401,35.87155575,34.09094639,30.91298922,33.85603039
29,F,2030,2030,Alto Jahuel 110,0,F,EtaMes,31.65588706,34.56157162,32.7533823,34.57664279,33.86330221,32.68774833,34.50413199,34.07706284,35.94972662,34.02966031,30.85936451,33.8004097
30,F,2031,*,Alto Jahuel 110,0,F,EtaMes,31.60244601,34.49368897,32.6960436,34.51289107,33.80566562,32.62471508,34.44130255,34.01735934,35.88452361,34.43056016,31.28244071,34.20396496
31,F,2017,2017,Alto Jahuel 154,0,F,EtaMes,44.58266015,49.58785444,45.18840617,48.29672591,46.66169837,46.40420656,48.87546697,48.01713306,50.72626013,53.66512662,48.47551846,52.36935437
32,F,2018,2018,Alto Jahuel 154,0,F,EtaMes,47.19080056,52.47654086,47.82041786,51.10698016,49.38392203,49.10675623,51.72399128,50.81512187,53.67412947,54.62728251,49.33519492,53.28579494
33,F,2019,2019,Alto Jahuel 154,0,F,EtaMes,48.08853194,53.53610499,48.78685789,52.15110989,50.36763742,50.1019952,52.75077422,51.81821193,54.75843411,55.57892664,50.19365359,54.21602201
34,F,2020,2020,Alto Jahuel 154,0,F,EtaMes,48.92597154,54.47143376,49.63908617,53.06222144,51.2480061,50.97756307,53.6697636,52.7193576,55.70950478,56.04665292,50.61680562,54.6764689
35,F,2021,2021,Alto Jahuel 154,0,F,EtaMes,49.33042409,54.91497833,50.04308949,53.49259935,51.66736856,51.39227923,54.10773588,53.14945903,56.15991653,56.64896341,51.16126653,55.26967386
36,F,2022,2022,Alto Jahuel 154,0,F,EtaMes,49.85193691,55.4887631,50.56569756,54.04953773,52.20978072,51.92890161,54.67323177,53.70421309,56.74087223,56.37613089,50.87584886,55.07038485
37,F,2023,2023,Alto Jahuel 154,0,F,EtaMes,49.61321076,55.34943681,50.43426628,53.91599473,52.0901533,51.80814405,54.43487663,53.40964036,56.39085849,56.87883468,51.31450735,55.59154094
38,F,2024,2024,Alto Jahuel 154,0,F,EtaMes,50.05032892,55.88223052,50.91780994,54.4345015,52.59780173,52.31038886,54.91929817,53.86068342,56.84828606,58.15467429,52.4675886,56.8433468
39,F,2025,2025,Alto Jahuel 154,0,F,EtaMes,51.16182542,57.10999159,52.03630661,55.62781628,53.75630228,53.4588756,56.12966679,55.04892707,58.09707771,59.82937014,53.98052296,58.48501982
40,F,2026,2026,Alto Jahuel 154,0,F,EtaMes,52.62420655,58.72941886,53.51167344,57.20262978,55.28347193,54.97398803,57.72498213,56.6147067,59.74430492,61.34238483,55.34792862,59.96946172
41,F,2027,2027,Alto Jahuel 154,0,F,EtaMes,53.9424916,60.18579581,54.83844327,58.61818599,56.65764812,56.33634134,59.16067153,58.02413432,61.22563138,62.85613852,56.71579698,61.45414511
42,F,2028,2028,Alto Jahuel 154,0,F,EtaMes,55.26253661,61.64545342,56.16822153,60.03719994,58.03462415,57.70184497,60.5992113,59.4362376,62.7103145,64.32725067,58.04571254,62.89837101
43,F,2029,2029,Alto Jahuel 154,0,F,EtaMes,56.54224588,63.05673972,57.45387693,61.40843128,59.36680205,59.02186785,61.99116091,60.80295241,64.14574121,64.37533141,58.09166071,62.95142327
44,F,2030,2030,Alto Jahuel 154,0,F,EtaMes,56.57056824,63.07178041,57.46733919,61.41977924,59.38458863,59.03494691,62.01065328,60.82357839,64.16079891,64.16520535,57.9046465,62.75207628
45,F,2031,*,Alto Jahuel 154,0,F,EtaMes,56.3717661,62.83333108,57.24983222,61.18422406,59.16376214,58.81074434,61.78099544,60.59984772,63.91798586,64.833312,58.51024425,63.41178037
46,F,2017,2017,Alto Jahuel 220,0,F,EtaMes,9.77512979,10.45597,9.924864487,10.38755588,10.22991213,10.01573703,10.3664678,10.06611594,10.51720835,10.9103309,9.833332907,10.78948973
47,F,2018,2018,Alto Jahuel 220,0,F,EtaMes,10.34406267,11.06712576,10.50360743,10.9942294,10.82625742,10.60043361,10.97175971,10.65411315,11.13237622,11.3075978,10.19123614,11.18151121
48,F,2019,2019,Alto Jahuel 220,0,F,EtaMes,10.7192113,11.47119874,10.88568152,11.39513813,11.21987489,10.98671069,11.37169308,11.04272033,11.53928158,11.54477254,10.40484375,11.4151752
49,F,2020,2020,Alto Jahuel 220,0,F,EtaMes,10.94250865,11.71292877,11.11361404,11.63475033,11.45460708,11.21745625,11.61065248,11.27502542,11.78290729,11.65858172,10.50726175,11.52682915
50,F,2021,2021,Alto Jahuel 220,0,F,EtaMes,11.04882408,11.82953442,11.22277499,11.75005586,11.56691679,11.32834412,11.72555726,11.38687068,11.9006767,11.7986016,10.6332982,11.66437547
51,F,2022,2022,Alto Jahuel 220,0,F,EtaMes,11.17994012,11.97276382,11.35715683,11.8917931,11.70521573,11.46470795,11.86683456,11.5243333,12.04524175,11.92519788,10.74723278,11.78862774
52,F,2023,2023,Alto Jahuel 220,0,F,EtaMes,11.29829534,12.10240152,11.47860682,12.0200168,11.8301812,11.58803612,11.9946224,11.64870272,12.17614514,12.11232332,10.91571279,11.97268916
