SisINum,SisNomEle,SisFOpe,SisFecOpeIni,SisFecOpeFin,SisAsoEle,SisGblEle,SisAsoPea,SisOpeFPri,SisDemFPri,SisCmrFPri,SisNAnoPNd,SisBarRefPNdEne,SisBarRefPNdPot,BarSisFUni,CenFalBarUni,CenFalFBarUni,CenFalFBarAlt
65,Arica Diesel,T,*,*,STx Arica,Chile,STx Arica,F,F,F,4,Crucero 220,Crucero 220,F,Crucero 220,F,F
66,STx Arica,T,*,*,STx Iquique,Chile,STx Iquique,F,F,F,4,Crucero 220,Crucero 220,F,Crucero 220,F,F
67,STx Iquique,T,*,*,SING TxT Norte,Chile,SING TxT Norte,F,F,F,4,Crucero 220,Crucero 220,F,Crucero 220,F,F
68,Iquique Diesel,T,*,*,STx Iquique,Chile,STx Iquique,F,F,F,4,Crucero 220,Crucero 220,F,Crucero 220,F,F
69,Cerro Colorado,T,*,*,Pozo Almonte,Chile,Pozo Almonte,F,F,F,4,Crucero 220,Crucero 220,F,Crucero 220,F,F
70,Collahuasi,T,*,*,SING TxT Cmn,Chile,SING TxT Cmn,F,F,F,4,Crucero 220,Crucero 220,F,Crucero 220,F,F
71,STx Calama,T,*,*,Chuquicamata,Chile,Chuquicamata,F,F,F,4,Crucero 220,Crucero 220,F,Crucero 220,F,F
72,Norgener,T,*,*,SING TxT Cmn,Chile,SING TxT Cmn,F,F,F,4,Crucero 220,Crucero 220,F,Crucero 220,F,F
73,El Abra,T,*,*,SING TxT Cmn,Chile,SING TxT Cmn,F,F,F,4,Crucero 220,Crucero 220,F,Crucero 220,F,F
74,Radomiro Tomic,T,*,*,SING TxT Cmn,Chile,SING TxT Cmn,F,F,F,4,Crucero 220,Crucero 220,F,Crucero 220,F,F
75,Lomas Bayas,T,*,*,Laberinto,Chile,Laberinto,F,F,F,4,Crucero 220,Crucero 220,F,Crucero 220,F,F
76,Spence,T,*,*,SING TxT Cmn,Chile,SING TxT Cmn,F,F,F,4,Crucero 220,Crucero 220,F,Crucero 220,F,F
77,Sierra Gorda,T,*,*,SING TxT Cmn,Chile,SING TxT Cmn,F,F,F,4,Crucero 220,Crucero 220,F,Crucero 220,F,F
78,Salta,T,*,*,Zaldivar,Chile,Zaldivar,F,F,F,4,Crucero 220,Crucero 220,F,Crucero 220,F,F
79,Minsal,T,*,*,Zaldivar,Chile,Zaldivar,F,F,F,4,Crucero 220,Crucero 220,F,Crucero 220,F,F
80,Enaex,T,*,*,Chacaya,Chile,Chacaya,F,F,F,4,Crucero 220,Crucero 220,F,Crucero 220,F,F
81,Lince,T,*,*,Chacaya,Chile,Chacaya,F,F,F,4,Crucero 220,Crucero 220,F,Crucero 220,F,F
82,STx Antofagasta,T,*,*,SING TxT Atacama,Chile,SING TxT Atacama,F,F,F,4,Crucero 220,Crucero 220,F,Crucero 220,F,F
83,Antofagasta Diesel,T,*,*,STx Antofagasta,Chile,STx Antofagasta,F,F,F,4,Crucero 220,Crucero 220,F,Crucero 220,F,F
84,Coloso,T,*,*,Chacaya,Chile,Chacaya,F,F,F,4,Crucero 220,Crucero 220,F,Crucero 220,F,F
85,Planta Oxidos,T,*,*,SING,Chile,SING,F,F,F,4,Crucero 220,Crucero 220,F,Crucero 220,F,F
86,Zaldivar,T,*,*,Laberinto,Chile,Laberinto,F,F,F,4,Crucero 220,Crucero 220,F,Crucero 220,F,F
87,Chuquicamata,T,*,*,SING TxT Cmn,Chile,SING TxT Cmn,F,F,F,4,Crucero 220,Crucero 220,F,Crucero 220,F,F
88,Pozo Almonte,T,*,*,SING TxT Norte,Chile,SING TxT Norte,F,F,F,4,Crucero 220,Crucero 220,F,Crucero 220,F,F
89,Alto Norte,T,*,*,Chacaya,Chile,Chacaya,F,F,F,4,Crucero 220,Crucero 220,F,Crucero 220,F,F
90,Chacaya,T,*,*,SING TxT Cmn,Chile,SING TxT Cmn,F,F,F,4,Crucero 220,Crucero 220,F,Crucero 220,F,F
91,Chapiquiña,T,*,*,STx Arica,Chile,STx Arica,F,F,F,4,Crucero 220,Crucero 220,F,Crucero 220,F,F
92,Laberinto,T,*,*,SING TxT Cmn,Chile,SING TxT Cmn,F,F,F,4,Crucero 220,Crucero 220,F,Crucero 220,F,F
93,Tocopilla,T,*,*,SING TxT Cmn,Chile,SING TxT Cmn,F,F,F,4,Crucero 220,Crucero 220,F,Crucero 220,F,F
94,Gaby,T,*,*,Laberinto,Chile,Laberinto,F,F,F,4,Crucero 220,Crucero 220,F,Crucero 220,F,F
95,Cochrane,T,*,*,SING TxT Cmn,Chile,SING TxT Cmn,F,F,F,4,Crucero 220,Crucero 220,F,Crucero 220,F,F
